方向,入场下标,入场时间,入场价,出场下标,出场时间,出场价,理由,仓位比例,跳空成交,固定止损位,交易日,时段号,成本基点,毛收益,净收益,持有根数
多,2370,2025-09-04 21:45:00,815.9883939167289,2372,2025-09-04 22:15:00,811.923150407807,SL,1.0,False,811.923150407807,2025-09-05,129,0.0,-0.004981986924359028,-0.004981986924359028,2
多,2375,2025-09-04 23:00:00,813.8727279980053,2517,2025-09-11 21:30:00,828.4542852868896,TRAIL,1.0,False,809.2878347401786,2025-09-12,137,0.0,0.017916262318744255,0.017916262318744255,142
多,2529,2025-09-12 00:30:00,831.5365425081026,2575,2025-09-15 09:15:00,829.9483674181713,TRAIL,1.0,False,828.4571365886667,2025-09-15,140,0.0,-0.001909928197672436,-0.001909928197672436,46
多,2588,2025-09-15 14:45:00,833.292944402892,2617,2025-09-16 10:45:00,839.1480926024858,TRAIL,1.0,False,831.4003928482388,2025-09-16,142,0.0,0.007026518391787678,0.007026518391787678,29
多,2671,2025-09-17 23:00:00,837.3446442283717,2684,2025-09-18 02:15:00,834.6822411938596,SL,1.0,False,834.6822411938596,2025-09-18,145,0.0,-0.003179578507922068,-0.003179578507922068,13
多,2717,2025-09-19 01:15:00,827.724352031912,2838,2025-09-24 10:15:00,853.1137687074828,TRAIL,1.0,False,824.1424041742349,2025-09-24,154,0.0,0.030673758254477414,0.030673758254477414,121
多,2877,2025-09-25 11:00:00,853.3119341810021,2888,2025-09-25 21:45:00,850.1469892082487,SL,1.0,False,850.1469892082487,2025-09-26,157,0.0,-0.003709012901350236,-0.003709012901350236,11
多,2895,2025-09-25 23:30:00,852.6532834704561,2945,2025-09-29 09:15:00,856.4954126153078,TRAIL,1.0,False,849.1953672400897,2025-09-29,160,0.0,0.004506086142322144,0.004506086142322144,50
多,3050,2025-10-10 21:30:00,904.0679571179255,3117,2025-10-14 13:45:00,938.92797264665,TRAIL,1.0,False,897.5669890657832,2025-10-14,169,0.0,0.03855906544885695,0.03855906544885695,67
多,3257,2025-10-20 09:30:00,972.2882034405383,3308,2025-10-21 21:15:00,960.851632011967,TRAIL,1.0,True,960.5308605620256,2025-10-22,180,0.0,-0.011762532331567752,-0.011762532331567752,51
多,3339,2025-10-22 13:45:00,947.0798444278233,3345,2025-10-22 21:15:00,925.7635123410619,SL,1.0,True,937.1102677636499,2025-10-23,182,0.0,-0.02250742871593861,-0.02250742871593861,6
多,3365,2025-10-23 02:15:00,932.4098967838443,3448,2025-10-27 11:15:00,930.1359836164833,TRAIL,1.0,False,922.540828507319,2025-10-27,187,0.0,-0.0024387484251340496,-0.0024387484251340496,83
空,3545,2025-10-30 01:00:00,911.8520109698328,3561,2025-10-30 13:45:00,904.6667304911492,TRAIL,1.0,False,916.9415846422337,2025-10-30,193,0.0,0.007879875673072672,0.007879875673072672,16
空,3595,2025-10-31 11:00:00,917.2210122164048,3604,2025-10-31 21:15:00,922.7097681376214,SL,1.0,True,922.3768786551269,2025-11-03,196,0.0,-0.005984114895005903,-0.005984114895005903,9
空,3617,2025-11-01 00:30:00,913.3090261780103,3623,2025-11-01 02:00:00,918.2767066994335,SL,1.0,False,918.2767066994335,2025-11-03,196,0.0,-0.0054392110217193245,-0.0054392110217193245,6
空,3653,2025-11-04 00:15:00,919.356637247569,3691,2025-11-05 00:30:00,911.8192209993945,TRAIL,1.0,False,924.260163479004,2025-11-05,200,0.0,0.008198577073137283,0.008198577073137283,38
空,3738,2025-11-06 09:30:00,911.0536464722012,3746,2025-11-06 13:45:00,915.1253054101219,SL,1.0,True,914.6527021405418,2025-11-06,203,0.0,-0.004469175831398119,-0.004469175831398119,8
空,3760,2025-11-06 23:15:00,915.225100972326,3774,2025-11-07 09:15:00,916.8332351746982,TRAIL,1.0,False,918.5739549097125,2025-11-07,205,0.0,-0.0017570914528717786,-0.0017570914528717786,14
空,3792,2025-11-07 22:00:00,916.2230565943653,3803,2025-11-08 00:45:00,919.6039876767458,SL,1.0,False,919.6039876767458,2025-11-10,206,0.0,-0.0036900742216065983,-0.0036900742216065983,11
空,3808,2025-11-08 02:00:00,917.3407668910494,3811,2025-11-10 09:15:00,921.5122213911741,SL,1.0,True,921.1536701926841,2025-11-10,207,0.0,-0.004547333608929353,-0.004547333608929353,3
多,3902,2025-11-12 21:45:00,945.1038922961853,3943,2025-11-13 22:45:00,958.1942187555651,TRAIL,1.0,False,941.3401739502082,2025-11-14,214,0.0,0.013850674583062014,0.013850674583062014,41
多,3965,2025-11-14 11:00:00,958.1371927200198,3971,2025-11-14 14:30:00,952.2456904227658,SL,1.0,False,952.2456904227658,2025-11-14,215,0.0,-0.006148913059651509,-0.006148913059651509,6
多,3989,2025-11-15 01:00:00,935.7705326942964,4005,2025-11-17 13:45:00,926.419916501836,SL,1.0,False,926.419916501836,2025-11-17,217,0.0,-0.009992424281129947,-0.009992424281129947,16
多,4012,2025-11-17 21:30:00,931.8505957431021,4023,2025-11-18 00:15:00,926.7019475902007,SL,1.0,False,926.7019475902007,2025-11-18,218,0.0,-0.00552518630821458,-0.00552518630821458,11
空,4182,2025-11-24 09:30:00,925.3836946814868,4196,2025-11-24 21:15:00,930.9416763521344,SL,1.0,False,930.9416763521344,2025-11-25,228,0.0,-0.006006137456918032,-0.006006137456918032,14
空,4234,2025-11-25 21:30:00,939.7899604310545,4249,2025-11-26 01:15:00,941.9588595563347,TRAIL,1.0,False,943.6104065966857,2025-11-26,230,0.0,-0.0023078551767943614,-0.0023078551767943614,15
空,4269,2025-11-26 15:00:00,941.9588595563347,4328,2025-11-28 02:30:00,945.4182963000648,TRAIL,1.0,False,945.4595139112266,2025-11-28,234,0.0,-0.003672598552084823,-0.003672598552084823,59
多,4424,2025-12-02 22:45:00,956.5243105628036,4426,2025-12-02 23:15:00,952.2433641897079,SL,1.0,False,952.2433641897079,2025-12-03,240,0.0,-0.004475522812982025,-0.004475522812982025,2
多,4441,2025-12-03 09:30:00,954.1763280235094,4484,2025-12-04 11:15:00,949.0660548878967,SL,1.0,False,949.0660548878967,2025-12-04,243,0.0,-0.005355690542227333,-0.005355690542227333,43
多,4496,2025-12-04 22:15:00,950.6145579003429,4541,2025-12-06 00:15:00,954.4435318475937,TRAIL,1.0,False,946.3805143261557,2025-12-08,246,0.0,0.0040278932354118335,0.0040278932354118335,45
多,4562,2025-12-08 14:15:00,954.0370409237208,4574,2025-12-08 23:15:00,949.4789416479845,SL,1.0,False,949.4789416479845,2025-12-09,248,0.0,-0.004777696336950512,-0.004777696336950512,12
多,4589,2025-12-09 09:30:00,950.2961873865402,4597,2025-12-09 13:45:00,946.8850747386551,SL,1.0,False,946.8850747386551,2025-12-09,249,0.0,-0.0035895257638211883,-0.0035895257638211883,8
多,4604,2025-12-09 21:30:00,950.9130302570328,4607,2025-12-09 22:15:00,947.943230307968,SL,1.0,False,947.943230307968,2025-12-10,250,0.0,-0.0031231036430977395,-0.0031231036430977395,3
多,4655,2025-12-11 01:00:00,950.7737431572441,4667,2025-12-11 10:45:00,956.2528428479095,TRAIL,1.0,False,948.0810961108199,2025-12-11,253,0.0,0.0057627797676352574,0.0057627797676352574,12
多,4775,2025-12-16 09:45:00,971.189252354836,4779,2025-12-16 11:00:00,967.1854588843809,SL,1.0,False,967.1854588843809,2025-12-16,259,0.0,-0.0041225677289437905,-0.0041225677289437905,4
多,4790,2025-12-16 21:45:00,969.1994366435696,4878,2025-12-19 01:15:00,975.5014672605372,TRAIL,1.0,False,965.0677264488188,2025-12-19,264,0.0,0.006502305282793135,0.006502305282793135,88
多,4897,2025-12-19 14:45:00,974.8107169493404,4979,2025-12-23 22:45:00,1003.6815216228773,TRAIL,1.0,False,969.9051105726007,2025-12-24,270,0.0,0.029616831423322637,0.029616831423322637,82
多,5027,2025-12-25 01:30:00,1005.8717402022069,5040,2025-12-25 11:30:00,1000.0451334105383,SL,1.0,False,1000.0451334105383,2025-12-25,273,0.0,-0.00579259418352613,-0.00579259418352613,13
多,5044,2025-12-25 14:30:00,1003.7625355482646,5071,2025-12-26 09:45:00,1010.22517271907,TRAIL,1.0,False,999.5220961378625,2025-12-26,275,0.0,0.006438412415218702,0.006438412415218702,27
多,5146,2025-12-30 10:00:00,976.2433842614523,5188,2025-12-31 11:30:00,970.3265251143083,TRAIL,1.0,False,967.056831511617,2025-12-31,281,0.0,-0.006060844296138541,-0.006060844296138541,42
多,5196,2026-01-05 09:30:00,986.6700185884876,5284,2026-01-07 21:15:00,990.3568628420766,TRAIL,1.0,False,978.9225289869787,2026-01-08,287,0.0,0.0037366537790044017,0.0037366537790044017,88
多,5297,2026-01-08 00:30:00,995.8032727031996,5315,2026-01-08 13:45:00,990.0917909633971,SL,1.0,False,990.0917909633971,2026-01-08,288,0.0,-0.005735552288654502,-0.005735552288654502,18
空,5352,2026-01-09 13:45:00,998.5691165418597,5360,2026-01-09 21:45:00,1002.6390003198675,SL,1.0,False,1002.6390003198675,2026-01-12,291,0.0,-0.004075715652114501,-0.004075715652114501,8
多,5505,2026-01-15 15:00:00,1028.99150463066,5509,2026-01-15 22:00:00,1023.508812718832,SL,1.0,False,1023.508812718832,2026-01-16,299,0.0,-0.005328218830918317,-0.005328218830918317,4
多,5512,2026-01-15 22:45:00,1028.0986273127198,5552,2026-01-16 23:30:00,1022.2609103720916,SL,1.0,False,1022.2609103720916,2026-01-19,301,0.0,-0.005678168208323566,-0.005678168208323566,40
多,5558,2026-01-17 01:00:00,1027.5232174856028,5663,2026-01-21 23:30:00,1080.1562094798028,TRAIL,1.0,False,1021.0115907597674,2026-01-22,307,0.0,0.05122316566529306,0.05122316566529306,105
多,5687,2026-01-22 14:15:00,1076.730678563197,5786,2026-01-27 02:30:00,1127.882628022083,TRAIL,1.0,False,1068.1292937337062,2026-01-27,313,0.0,0.04750672612685641,0.04750672612685641,99
多,5815,2026-01-28 00:30:00,1137.4860196194848,5861,2026-01-29 09:15:00,1213.732073509243,TRAIL,1.0,False,1128.663541358885,2026-01-29,318,0.0,0.0670303217575055,0.0670303217575055,46
多,5900,2026-01-30 09:45:00,1196.991332430656,5902,2026-01-30 10:15:00,1163.374501410207,SL,1.0,False,1163.374501410207,2026-01-30,320,0.0,-0.028084439803073187,-0.028084439803073187,2
