clearing_day,weekday,gap,prev_file,era,padded
20100222,0,10.0,20100212,旧格式,False
20100406,1,4.0,20100402,旧格式,False
20100504,1,4.0,20100430,旧格式,False
20100617,3,6.0,20100611,旧格式,False
20100927,0,6.0,20100921,旧格式,False
20101008,4,8.0,20100930,旧格式,False
20110104,1,4.0,20101231,旧格式,False
20110209,2,8.0,20110201,旧格式,False
20110406,2,5.0,20110401,旧格式,False
20110503,1,4.0,20110429,旧格式,False
20110607,1,4.0,20110603,旧格式,False
20110913,1,4.0,20110909,旧格式,False
20111010,0,10.0,20110930,旧格式,False
20120104,2,5.0,20111230,旧格式,False
20120130,0,10.0,20120120,旧格式,False
20120405,3,6.0,20120330,旧格式,False
20120502,2,5.0,20120427,旧格式,False
20120625,0,4.0,20120621,旧格式,False
20121008,0,10.0,20120928,旧格式,False
20130104,4,4.0,20121231,旧格式,False
20130218,0,10.0,20130208,旧格式,False
20130408,0,5.0,20130403,旧格式,False
20130502,3,6.0,20130426,旧格式,False
20130613,3,6.0,20130607,旧格式,False
20130923,0,5.0,20130918,旧格式,False
20131008,1,8.0,20130930,旧格式,False
20140102,3,2.0,20131231,旧格式,True
20140207,4,8.0,20140130,旧格式,False
20140408,1,4.0,20140404,旧格式,False
20140505,0,5.0,20140430,旧格式,False
20140603,1,4.0,20140530,旧格式,False
20140909,1,4.0,20140905,旧格式,False
20141008,2,8.0,20140930,旧格式,False
20150105,0,5.0,20141231,旧格式,False
20150225,2,8.0,20150217,旧格式,False
20150407,1,4.0,20150403,旧格式,False
20150504,0,4.0,20150430,旧格式,False
20150623,1,4.0,20150619,旧格式,False
20150907,0,5.0,20150902,旧格式,False
20151008,3,8.0,20150930,旧格式,False
20160104,0,4.0,20151231,旧格式,False
20160215,0,10.0,20160205,旧格式,False
20160405,1,4.0,20160401,旧格式,False
20160503,1,4.0,20160429,旧格式,False
20160613,0,5.0,20160608,旧格式,False
20160919,0,5.0,20160914,旧格式,False
20161010,0,10.0,20160930,旧格式,False
20170103,1,4.0,20161230,旧格式,False
20170203,4,8.0,20170126,旧格式,False
20170405,2,5.0,20170331,旧格式,False
20170502,1,4.0,20170428,旧格式,False
20170531,2,5.0,20170526,旧格式,False
20171009,0,10.0,20170929,旧格式,False
20180102,1,4.0,20171229,旧格式,False
20180222,3,8.0,20180214,旧格式,False
20180409,0,5.0,20180404,旧格式,False
20180502,2,5.0,20180427,旧格式,False
20180619,1,4.0,20180615,旧格式,False
20180925,1,4.0,20180921,旧格式,False
20181008,0,10.0,20180928,旧格式,False
20190102,2,5.0,20181228,旧格式,False
20190211,0,10.0,20190201,旧格式,False
20190408,0,4.0,20190404,旧格式,False
20190506,0,6.0,20190430,旧格式,False
20190610,0,4.0,20190606,旧格式,False
20190916,0,4.0,20190912,旧格式,False
20191008,1,8.0,20190930,旧格式,False
20200102,3,2.0,20191231,旧格式,True
20200203,0,11.0,20200123,旧格式,False
20200407,1,4.0,20200403,旧格式,False
20200506,2,6.0,20200430,旧格式,False
20200629,0,5.0,20200624,旧格式,False
20201009,4,9.0,20200930,旧格式,False
20210104,0,4.0,20201231,旧格式,False
20210218,3,8.0,20210210,旧格式,False
20210406,1,4.0,20210402,旧格式,False
20210506,3,6.0,20210430,旧格式,False
20210615,1,4.0,20210611,旧格式,False
20210922,2,5.0,20210917,旧格式,False
20211008,4,8.0,20210930,旧格式,False
20220104,1,4.0,20211231,旧格式,False
20220207,0,10.0,20220128,旧格式,False
20220406,2,5.0,20220401,旧格式,False
20220505,3,6.0,20220429,旧格式,False
20220606,0,4.0,20220602,旧格式,False
20220913,1,4.0,20220909,旧格式,False
20221010,0,10.0,20220930,新格式,True
20230103,1,4.0,20221230,新格式,True
20230130,0,10.0,20230120,新格式,True
20230406,3,2.0,20230404,新格式,True
20230504,3,6.0,20230428,新格式,True
20231009,0,11.0,20230928,新格式,True
20240102,1,4.0,20231229,新格式,True
20240219,0,11.0,20240208,新格式,True
20240408,0,5.0,20240403,新格式,True
20240506,0,6.0,20240430,新格式,True
20240611,1,4.0,20240607,新格式,True
20240918,2,5.0,20240913,新格式,True
20241008,1,8.0,20240930,新格式,True
20250102,3,2.0,20241231,新格式,True
20250205,2,9.0,20250127,新格式,True
20250407,0,4.0,20250403,新格式,True
20250506,1,6.0,20250430,新格式,True
20250603,1,4.0,20250530,新格式,True
20251009,3,9.0,20250930,新格式,True
20260105,0,5.0,20251231,新格式,True
20260224,1,11.0,20260213,新格式,True
20260407,1,4.0,20260403,新格式,True
20260506,2,6.0,20260430,新格式,True
20260622,0,4.0,20260618,新格式,True
