product,n2100v,n2100flat,n0900v,n0900flat,flat_2100,flat_0900
TA,12870,4329,2983,1881,0.33636363636363636,0.6305732484076433
MA,11359,4385,556,231,0.38603750330134695,0.4154676258992806
FG,11102,5089,2106,1240,0.4583858764186633,0.5887939221272555
RM,10857,3850,2215,1227,0.3546099290780142,0.5539503386004515
SR,9921,2971,4446,2906,0.29946577965930854,0.6536212325686009
SA,9537,4284,189,86,0.44919786096256686,0.455026455026455
CF,9372,3011,3595,2441,0.3212761416986769,0.6789986091794159
OI,8269,2442,1551,737,0.29531986939170396,0.475177304964539
PF,5495,1911,46,15,0.34777070063694265,0.32608695652173914
ZC,4805,1893,382,125,0.3939646201873049,0.32722513089005234
SH,2747,1055,0,0,0.3840553330906443,
PX,2331,808,0,0,0.34663234663234666,
CY,2005,895,90,50,0.4463840399002494,0.5555555555555556
PR,1220,451,0,0,0.369672131147541,
ME,49,36,1073,769,0.7346938775510204,0.7166821994408201
AP,0,0,8745,3565,,0.40766152086906804
JR,0,0,57,55,,0.9649122807017544
PL,0,0,597,447,,0.7487437185929648
PM,0,0,11,11,,1.0
PK,0,0,3939,1661,,0.42168062960142166
LR,0,0,124,88,,0.7096774193548387
ER,0,0,1505,1341,,0.891029900332226
CJ,0,0,5172,2254,,0.4358081979891725
RS,0,0,224,201,,0.8973214285714286
RI,0,0,347,305,,0.8789625360230547
SM,0,0,9139,3589,,0.39271255060728744
SF,0,0,9219,3675,,0.39863325740318906
RO,0,0,1307,1093,,0.836266258607498
TC,0,0,846,591,,0.6985815602836879
UR,0,0,7221,3424,,0.4741725522780778
WH,0,0,1166,928,,0.7958833619210978
WS,0,0,1259,1123,,0.891977760127085
WT,0,0,156,153,,0.9807692307692307
