missing_day,weekday,prev_file,next_file,tdate_block_vol_in_next_file,direct_verdict,holiday,verdict,run_id
20100215,周一,20100212,20100222,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,1
20100216,周二,20100212,20100222,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,1
20100217,周三,20100212,20100222,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,1
20100218,周四,20100212,20100222,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,1
20100219,周五,20100212,20100222,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,1
20100405,周一,20100402,20100406,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,2
20100503,周一,20100430,20100504,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,3
20100614,周一,20100611,20100617,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,4
20100615,周二,20100611,20100617,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,4
20100616,周三,20100611,20100617,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,4
20100922,周三,20100921,20100927,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,5
20100923,周四,20100921,20100927,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,5
20100924,周五,20100921,20100927,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,5
20101001,周五,20100930,20101008,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,6
20101004,周一,20100930,20101008,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,6
20101005,周二,20100930,20101008,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,6
20101006,周三,20100930,20101008,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,6
20101007,周四,20100930,20101008,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,6
20110103,周一,20101231,20110104,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,7
20110202,周三,20110201,20110209,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,8
20110203,周四,20110201,20110209,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,8
20110204,周五,20110201,20110209,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,8
20110207,周一,20110201,20110209,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,8
20110208,周二,20110201,20110209,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,8
20110404,周一,20110401,20110406,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,9
20110405,周二,20110401,20110406,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,9
20110502,周一,20110429,20110503,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,10
20110606,周一,20110603,20110607,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,11
20110912,周一,20110909,20110913,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,12
20111003,周一,20110930,20111010,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,13
20111004,周二,20110930,20111010,,无直接判据（连续缺失区间内部）,,休市或缺失（2022-09-22 前，未逐日判定）,13
