clearing_day,tdate,market,market_cn,product,n_contracts,bars,min_bt,max_bt
20240102,20240101,XDCE,大商所,A,6,2076,09:01,23:00
20240102,20240101,XDCE,大商所,B,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,C,6,2076,09:01,23:00
20240102,20240101,XDCE,大商所,CS,6,2076,09:01,23:00
20240102,20240101,XDCE,大商所,EB,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,EG,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,I,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,J,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,JM,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,L,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,M,8,2768,09:01,23:00
20240102,20240101,XDCE,大商所,P,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,PG,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,PP,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,RR,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,V,12,4152,09:01,23:00
20240102,20240101,XDCE,大商所,Y,8,2768,09:01,23:00
20240102,20240101,XSGE,上期所,AG,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,AL,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,AU,8,3240,09:01,23:59
20240102,20240101,XSGE,上期所,BR,12,4152,09:01,23:00
20240102,20240101,XSGE,上期所,BU,16,5536,09:01,23:00
20240102,20240101,XSGE,上期所,CU,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,FU,12,4152,09:01,23:00
20240102,20240101,XSGE,上期所,HC,12,4152,09:01,23:00
20240102,20240101,XSGE,上期所,NI,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,PB,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,RB,12,4152,09:01,23:00
20240102,20240101,XSGE,上期所,RU,10,3460,09:01,23:00
20240102,20240101,XSGE,上期所,SN,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,SP,12,4152,09:01,23:00
20240102,20240101,XSGE,上期所,SS,12,4860,09:01,23:59
20240102,20240101,XSGE,上期所,ZN,12,4860,09:01,23:59
20240102,20240101,XSIE,能源中心,BC,12,4860,09:01,23:59
20240102,20240101,XSIE,能源中心,LU,12,4152,09:01,23:00
20240102,20240101,XSIE,能源中心,NR,12,4152,09:01,23:00
20240102,20240101,XSIE,能源中心,SC,20,8100,09:01,23:59
20240102,20240101,XZCE,郑商所,CF,6,2076,09:01,23:00
20240102,20240101,XZCE,郑商所,CY,12,4152,09:01,23:00
20240102,20240101,XZCE,郑商所,FG,12,4152,09:01,23:00
20240102,20240101,XZCE,郑商所,MA,12,4152,09:01,23:00
20240102,20240101,XZCE,郑商所,OI,6,2076,09:01,23:00
20240102,20240101,XZCE,郑商所,PF,12,4152,09:01,23:00
20240102,20240101,XZCE,郑商所,PX,8,2768,09:01,23:00
20240102,20240101,XZCE,郑商所,RM,7,2422,09:01,23:00
20240102,20240101,XZCE,郑商所,SA,12,4152,09:01,23:00
20240102,20240101,XZCE,郑商所,SH,8,2768,09:01,23:00
20240102,20240101,XZCE,郑商所,SR,6,2076,09:01,23:00
20240102,20240101,XZCE,郑商所,TA,12,4152,09:01,23:00
20240102,20240101,XZCE,郑商所,ZC,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,A,6,2076,09:01,23:00
20250102,20250101,XDCE,大商所,B,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,C,6,2076,09:01,23:00
20250102,20250101,XDCE,大商所,CS,6,2076,09:01,23:00
20250102,20250101,XDCE,大商所,EB,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,EG,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,I,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,J,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,JM,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,L,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,M,8,2768,09:01,23:00
20250102,20250101,XDCE,大商所,P,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,PG,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,PP,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,RR,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,V,12,4152,09:01,23:00
20250102,20250101,XDCE,大商所,Y,8,2768,09:01,23:00
20250102,20250101,XSGE,上期所,AG,12,6672,00:00,23:59
20250102,20250101,XSGE,上期所,AL,12,5592,00:00,23:59
