year,market_cn,合约日数,整万元的,整万元比例
2010,上期所,20071,87,0.00433461212694933
2010,中金所,696,1,0.0014367816091954023
2010,大商所,13899,68,0.004892438304914023
2010,郑商所,12088,33,0.0027299801455989412
2011,上期所,17760,106,0.005968468468468468
2011,中金所,976,1,0.0010245901639344263
2011,大商所,13108,62,0.0047299359169972535
2011,郑商所,11806,37,0.003133999661189226
2012,上期所,18405,86,0.004672643303450149
2012,中金所,972,4,0.00411522633744856
2012,大商所,12985,60,0.004620716211012707
2012,郑商所,10860,40,0.003683241252302026
2013,上期所,19440,92,0.004732510288065843
2013,中金所,1178,4,0.003395585738539898
2013,大商所,14518,92,0.006336961013913762
2013,郑商所,13996,50,0.003572449271220349
2014,上期所,21093,93,0.0044090456549566205
2014,中金所,1691,4,0.002365464222353637
2014,大商所,20160,103,0.005109126984126984
2014,郑商所,14593,52,0.003563352292194888
2015,上期所,25060,78,0.0031125299281723863
2015,中金所,3653,23,0.006296194908294552
2015,大商所,20006,88,0.004398680395881235
2015,郑商所,14545,4318,0.29687177724303887
2016,上期所,27455,98,0.003569477326534329
2016,中金所,4364,17,0.003895508707607699
2016,大商所,19858,77,0.003877530466310807
2016,郑商所,14081,6893,0.4895248916980328
2017,上期所,27453,109,0.00397042217608276
2017,中金所,4265,23,0.005392731535756155
2017,大商所,19001,63,0.0033156149676332822
2017,郑商所,14044,6932,0.49359156935346055
2018,上期所,27681,97,0.0035042086629818287
2018,中金所,4202,17,0.00404569252736792
2018,大商所,19511,63,0.0032289477730510995
2018,能源中心,1404,27,0.019230769230769232
2018,郑商所,17236,8475,0.4917034114643769
2019,上期所,32064,111,0.003461826347305389
2019,中金所,4818,25,0.00518887505188875
2019,大商所,23270,81,0.003480876665234207
2019,能源中心,2338,39,0.016680923866552608
2019,郑商所,19461,9741,0.500539540619701
2020,上期所,37016,92,0.002485411713853469
2020,中金所,5058,26,0.005140371688414393
2020,大商所,33873,102,0.003011247896554778
2020,能源中心,5920,89,0.015033783783783785
2020,郑商所,27330,27301,0.9989388949871936
2021,上期所,40179,109,0.0027128599517160707
2021,中金所,4995,27,0.005405405405405406
2021,大商所,42334,144,0.003401521235886049
2021,能源中心,7036,112,0.015918135304150087
2021,郑商所,35424,35407,0.9995200993676604
2022,上期所,41447,132,0.0031847902140082515
2022,中金所,5475,23,0.004200913242009132
2022,大商所,40585,122,0.0030060367130713317
2022,广期所,35,0,0.0
2022,能源中心,6940,141,0.02031700288184438
2022,郑商所,34219,34212,0.9997954352844911
2023,上期所,42021,121,0.002879512624640061
2023,中金所,6184,35,0.005659767141009056
2023,大商所,41964,88,0.002097035554284625
2023,广期所,2712,12,0.004424778761061947
2023,能源中心,7364,90,0.012221618685497012
2023,郑商所,33024,33021,0.9999091569767442
2024,上期所,47375,114,0.0024063324538258577
2024,中金所,6744,33,0.004893238434163701
2024,大商所,44447,108,0.0024298602830337256
2024,广期所,5362,30,0.005594927265945543
2024,能源中心,10359,80,0.007722753161502075
2024,郑商所,38802,38799,0.9999226843977115
2025,上期所,47814,105,0.0021960095369557035
2025,中金所,6568,34,0.0051766138855054815
2025,大商所,46367,135,0.0029115534755321673
2025,广期所,8301,15,0.0018070112034694614
2025,能源中心,11199,96,0.008572193945888026
2025,郑商所,41006,41005,0.9999756133248793
2026,上期所,26641,75,0.0028152096392778047
2026,中金所,3492,19,0.005441008018327606
2026,大商所,26156,70,0.002676250191160728
2026,广期所,5234,22,0.004203286205578907
2026,能源中心,6290,69,0.010969793322734499
2026,郑商所,22910,22719,0.9916630292448713
