market_cn,product,bar数,最大偏离,涉及交易日
上期所,RU,422490,0.973966,629
郑商所,FG,13403,22.181319,2392
郑商所,MA,10436,662.985744,2423
郑商所,SA,9520,135.513633,1517
郑商所,TA,9464,199.868117,2410
郑商所,RM,8192,48.120994,2341
郑商所,SR,5677,72.121955,2065
郑商所,CF,4995,1751.43353,1867
郑商所,UR,4607,12.342826,1402
郑商所,SF,4426,4.171227,1893
郑商所,SM,4366,3.531079,1829
郑商所,PF,4126,55.814274,1192
郑商所,OI,3969,52.771971,1604
郑商所,AP,3602,7.029025,1575
郑商所,CJ,2944,2.278299,1331
郑商所,ZC,2814,3.765269,1285
郑商所,SH,2543,12.128597,616
郑商所,PK,2162,19.088771,941
郑商所,PX,2104,30.01312,542
郑商所,CY,1433,5.805584,808
郑商所,PR,1023,69.188569,342
郑商所,WH,892,1.066116,737
大商所,P,648,0.067421,274
大商所,L,639,0.130235,303
大商所,JM,595,0.160011,193
大商所,I,568,0.156787,179
大商所,B,536,0.065859,153
郑商所,RS,473,1.647567,419
大商所,J,453,0.089512,250
大商所,V,432,0.12931,240
大商所,Y,363,0.086313,163
广期所,LC,348,0.081459,71
大商所,PG,309,0.083659,149
大商所,EG,293,0.11938,130
大商所,A,293,0.05053,106
郑商所,PL,262,2.000338,143
大商所,EB,215,0.06388,121
大商所,PP,201,0.094547,114
大商所,M,178,0.059821,97
郑商所,JR,170,0.453473,165
广期所,PD,145,0.051927,49
郑商所,TC,140,2.989064,90
大商所,BZ,135,0.202455,42
广期所,PT,114,0.042635,41
郑商所,RI,108,0.201444,105
郑商所,ME,106,3.994547,43
郑商所,LR,92,0.124138,91
大商所,C,73,0.048648,56
广期所,PS,54,0.053029,33
广期所,SI,47,0.048788,28
大商所,FB,43,0.484388,40
上期所,BU,41,0.082329,40
上期所,ZN,41,0.040908,23
上期所,FU,40,0.057949,37
上期所,RB,40,0.055533,36
上期所,AG,38,0.052383,37
能源中心,SC,35,0.057221,30
上期所,AD,31,0.037536,18
郑商所,PM,25,0.312931,25
上期所,CU,25,0.041222,13
大商所,JD,24,0.081337,22
大商所,BB,21,0.167308,17
能源中心,LU,21,0.07724,21
大商所,CS,18,0.043697,18
上期所,AU,17,0.058001,14
上期所,HC,17,0.031893,17
上期所,AL,14,0.029126,11
上期所,BR,14,0.023082,14
上期所,PB,12,0.047156,11
上期所,WR,10,0.036738,10
大商所,RR,9,0.043115,9
上期所,NI,8,0.086002,8
上期所,SS,6,0.058421,6
大商所,LH,5,0.049251,5
上期所,SN,5,0.049633,5
郑商所,WS,4,0.5,3
上期所,SP,4,0.025972,4
上期所,AO,3,0.070655,3
能源中心,BC,3,0.01353,3
能源中心,NR,3,0.045163,3
中金所,TL,2,0.015218,2
中金所,IH,2,0.018719,2
郑商所,ER,2,0.166536,1
大商所,LG,1,0.012004,1
能源中心,EC,1,0.016938,1
郑商所,WT,1,0.010347,1
