clearing_day,bad,bars,maxdev,ratio
20100104,808,2260,0.5,0.35752212389380533
20100105,918,2260,0.5,0.4061946902654867
20100106,857,2260,0.500005,0.37920353982300886
20100107,996,2260,0.5,0.4407079646017699
20100108,1055,2260,0.5,0.4668141592920354
20100111,959,2260,0.5,0.4243362831858407
20100112,1007,2260,0.5,0.44557522123893806
20100113,1008,2260,0.5,0.44601769911504424
20100114,931,2260,0.500133,0.4119469026548673
20100115,969,2260,0.5,0.42876106194690267
20100118,857,2260,0.500007,0.37920353982300886
20100119,943,2260,0.5,0.4172566371681416
20100120,940,2260,0.5,0.415929203539823
20100121,910,2260,0.5,0.4026548672566372
20100122,990,2260,0.5,0.43805309734513276
20100125,865,2260,0.500035,0.3827433628318584
20100126,827,2260,0.5,0.365929203539823
20100127,970,2260,0.5,0.42920353982300885
20100128,964,2260,0.5,0.4265486725663717
20100129,932,2260,0.500474,0.41238938053097346
20100201,959,2260,0.5,0.4243362831858407
20100202,805,2260,0.500735,0.3561946902654867
20100203,847,2260,0.500215,0.3747787610619469
20100204,835,2260,0.5,0.3694690265486726
20100205,933,2260,0.5,0.41283185840707964
20100208,752,2260,0.5,0.3327433628318584
20100209,815,2260,0.500074,0.3606194690265487
20100210,737,2260,0.5,0.32610619469026547
20100211,790,2260,0.5,0.3495575221238938
20100212,713,2260,0.5,0.3154867256637168
20100222,814,2260,0.5,0.3601769911504425
20100223,786,2260,0.5,0.347787610619469
20100224,891,2260,0.50002,0.39424778761061946
20100225,964,2260,0.5,0.4265486725663717
20100226,865,2260,0.500102,0.3827433628318584
20100301,920,2260,0.5,0.40707964601769914
20100302,919,2260,0.501455,0.4066371681415929
20100303,902,2260,0.5,0.3991150442477876
20100304,1023,2260,0.500017,0.4526548672566372
20100305,846,2260,0.5,0.3743362831858407
20100308,871,2260,0.5,0.38539823008849555
20100309,771,2260,0.500246,0.3411504424778761
20100310,812,2260,0.5,0.35929203539823007
20100311,952,2260,0.500239,0.42123893805309737
20100312,947,2260,0.5,0.4190265486725664
20100315,945,2260,0.5,0.41814159292035397
20100316,956,2260,0.5,0.4230088495575221
20100317,873,2260,0.500317,0.386283185840708
20100318,933,2260,0.500178,0.41283185840707964
20100319,855,2260,0.500084,0.37831858407079644
20100322,820,2260,0.5,0.36283185840707965
20100323,935,2260,0.5,0.413716814159292
20100324,978,2260,0.5,0.4327433628318584
20100325,1153,2260,0.500523,0.5101769911504425
20100326,995,2260,0.5,0.44026548672566373
20100329,931,2260,0.500022,0.4119469026548673
20100330,938,2260,0.5,0.4150442477876106
20100331,890,2260,0.5,0.3938053097345133
20100401,901,2260,0.50049,0.3986725663716814
20100402,953,2260,0.5,0.42168141592920355
20100406,1119,2260,0.5,0.49513274336283186
20100407,862,2260,0.5,0.38141592920353984
20100408,933,2260,0.5,0.41283185840707964
20100409,865,2260,0.5,0.3827433628318584
20100412,928,2260,0.501098,0.41061946902654867
20100413,937,2260,0.500065,0.41460176991150444
20100414,912,2260,0.500297,0.40353982300884955
20100415,974,2260,0.5,0.43097345132743364
20100416,903,2260,0.500148,0.3995575221238938
20100419,974,2260,0.5,0.43097345132743364
20100420,995,2260,0.5,0.44026548672566373
20100421,932,2260,0.5,0.41238938053097346
20100422,985,2260,0.500026,0.4358407079646018
20100423,967,2260,0.500019,0.42787610619469024
20100426,885,2260,0.500077,0.3915929203539823
20100427,932,2260,0.500011,0.41238938053097346
20100428,932,2260,0.5,0.41238938053097346
20100429,825,2260,0.500053,0.36504424778761063
20100430,1014,2260,0.50007,0.4486725663716814
20100504,835,2260,0.5,0.3694690265486726
20100505,929,2260,0.5,0.41106194690265485
20100506,926,2260,0.502143,0.4097345132743363
20100507,1040,2260,0.500072,0.46017699115044247
20100510,910,2260,0.500004,0.4026548672566372
20100511,808,2260,0.5,0.35752212389380533
20100512,867,2260,0.500307,0.3836283185840708
20100513,808,2260,0.5,0.35752212389380533
20100514,939,2260,0.5,0.4154867256637168
20100517,986,2260,0.503939,0.43628318584070797
20100518,951,2260,0.5,0.4207964601769911
20100519,976,2260,0.5,0.431858407079646
20100520,1004,2260,0.5,0.44424778761061945
20100521,832,2260,0.5,0.368141592920354
20100524,888,2260,0.500002,0.3929203539823009
20100525,962,2260,0.5,0.42566371681415927
20100526,912,2260,0.5,0.40353982300884955
20100527,881,2260,0.5,0.3898230088495575
20100528,850,2260,0.500036,0.37610619469026546
20100531,892,2260,0.5,0.39469026548672564
20100601,790,2260,0.500011,0.3495575221238938
20100602,864,2260,0.5,0.3823008849557522
20100603,875,2260,0.5,0.38716814159292035
20100604,838,2260,0.500765,0.37079646017699114
20100607,726,2260,0.500347,0.32123893805309733
20100608,1098,2260,0.500112,0.48584070796460177
20100609,1033,2260,0.500321,0.4570796460176991
20100610,1088,2260,0.5,0.4814159292035398
20100611,936,2260,0.5,0.41415929203539825
20100617,934,2260,0.5,0.41327433628318583
20100618,943,2260,0.5,0.4172566371681416
20100621,990,2260,0.50006,0.43805309734513276
20100622,943,2260,0.500318,0.4172566371681416
20100623,114,2260,0.5,0.050442477876106194
20100624,922,2260,0.500946,0.4079646017699115
20100625,943,2260,0.5,0.4172566371681416
20100628,1031,2260,0.5,0.4561946902654867
20100629,1103,2260,0.5,0.48805309734513275
20100630,1117,2260,0.500002,0.4942477876106195
20100701,1166,2260,0.500002,0.515929203539823
20100702,1079,2260,0.500212,0.47743362831858405
20100705,1036,2260,0.500229,0.4584070796460177
20100706,1071,2260,0.5,0.4738938053097345
20100707,1104,2260,0.5,0.48849557522123893
20100708,1124,2260,0.500108,0.49734513274336284
20100709,1067,2260,0.500156,0.4721238938053097
20100712,1205,2260,0.500054,0.5331858407079646
20100713,1115,2260,0.500027,0.49336283185840707
20100714,1098,2260,0.5,0.48584070796460177
20100715,1041,2260,0.5,0.46061946902654866
20100716,1032,2260,0.500149,0.45663716814159294
20100719,988,2260,0.5,0.43716814159292033
20100720,1059,2260,0.5,0.4685840707964602
20100721,988,2260,0.5,0.43716814159292033
20100722,1084,2260,0.5,0.479646017699115
20100723,1239,2260,0.500007,0.5482300884955752
20100726,1158,2260,0.5,0.5123893805309735
20100727,1104,2260,0.500223,0.48849557522123893
20100728,1180,2260,0.5,0.5221238938053098
20100729,1222,2260,0.500079,0.54070796460177
20100730,1119,2260,0.500062,0.49513274336283186
20100802,1270,2260,0.5,0.5619469026548672
20100803,1121,2260,0.50001,0.49601769911504423
20100804,1172,2260,0.5,0.5185840707964602
20100805,1191,2260,0.500078,0.5269911504424779
20100806,1131,2260,0.502016,0.5004424778761062
20100809,1099,2260,0.500027,0.48628318584070795
20100810,1099,2260,0.500044,0.48628318584070795
20100811,1099,2260,0.500039,0.48628318584070795
20100812,1089,2260,0.5,0.481858407079646
20100813,1008,2260,0.500123,0.44601769911504424
20100816,1013,2260,0.5,0.4482300884955752
20100817,1208,2260,0.500005,0.5345132743362832
20100818,1078,2260,0.500014,0.47699115044247786
20100819,1082,2260,0.500011,0.47876106194690266
20100820,1085,2260,0.5,0.48008849557522126
20100823,1078,2260,0.500024,0.47699115044247786
20100824,1124,2260,0.500051,0.49734513274336284
20100825,1129,2260,0.5,0.4995575221238938
20100826,1085,2260,0.50002,0.48008849557522126
20100827,1129,2260,0.5,0.4995575221238938
20100830,1138,2260,0.500033,0.5035398230088496
