market,market_cn,product,contract,start_day,start_tdate,start_bt,end_day,end_tdate,end_bt,n_files,n_bars,n_bars_with_vol,sum_vol,seed_vol,seed_vwap,prev_close,next_open,contract_day_vol,vol_share,合约地位
XDCE,大商所,A,A1605,20150114,20150113,21:02,20150114,20150113,21:04,1,3,1,1,1,4420.0,4420.0,0.0,9,0.00016403302531576357,清淡(<1%)
XDCE,大商所,A,A1605,20150115,20150114,21:01,20150115,20150115,02:29,1,329,2,3,2,4418.0,4418.0,4408.0,8,0.00014406627048442282,清淡(<1%)
XDCE,大商所,I,I1501,20150116,20150116,15:00,20150116,20150116,15:00,1,1,1,250,250,524.0,505.0,,250,0.0007233063781156423,清淡(<1%)
XDCE,大商所,A,A1605,20150120,20150119,21:01,20150120,20150120,09:19,1,349,1,2,2,4413.0,4413.0,0.0,8,0.00015429122468659594,清淡(<1%)
XDCE,大商所,Y,Y1601,20150121,20150120,21:01,20150121,20150120,21:05,1,5,3,36,11,5782.0,5780.0,0.0,549,0.0017975953478625315,清淡(<1%)
XDCE,大商所,Y,Y1601,20150123,20150122,21:07,20150123,20150122,21:09,1,3,1,5,5,5758.0,5740.0,0.0,700,0.002042483660130719,清淡(<1%)
XDCE,大商所,J,J1601,20150127,20150127,09:37,20150127,20150127,15:00,1,189,1,5,5,1058.0,1053.0,,5,0.0001235880070197988,清淡(<1%)
XDCE,大商所,CS,CS1601,20150128,20150128,14:46,20150128,20150128,14:50,1,5,2,2,1,2778.0,2726.0,0.0,4,0.0005401026194977045,清淡(<1%)
XDCE,大商所,A,A1605,20150130,20150130,09:38,20150130,20150130,11:18,1,86,4,5,1,4381.0,4364.0,4375.0,11,0.00019459382960656667,清淡(<1%)
XDCE,大商所,J,J1705,20160707,20160706,21:06,20160707,20160706,21:21,1,16,4,8,1,980.0,976.0,0.0,53,0.0008730171803192278,清淡(<1%)
XDCE,大商所,J,J1705,20160708,20160707,21:05,20160708,20160707,21:23,1,19,3,3,1,990.5,985.5,0.0,35,0.0006890441972635102,清淡(<1%)
XDCE,大商所,M,M1607,20160714,20160714,15:00,20160714,20160714,15:00,1,1,1,1,1,3192.0,3192.0,,1,4.283427547322237e-07,清淡(<1%)
XDCE,大商所,J,J1705,20160719,20160718,21:01,20160719,20160718,21:02,1,2,1,2,2,994.75,991.0,0.0,124,0.001502884568769089,清淡(<1%)
XDCE,大商所,J,J1705,20160725,20160722,21:03,20160725,20160722,21:15,1,13,5,13,1,1004.5,1000.0,0.0,129,0.0010038754260634076,清淡(<1%)
XDCE,大商所,J,J1705,20160728,20160727,21:06,20160728,20160727,21:06,1,1,1,2,2,1040.0,1038.0,0.0,139,0.0017604741881554282,清淡(<1%)
XDCE,大商所,J,J1705,20160729,20160728,21:02,20160729,20160728,21:05,1,4,3,5,3,1044.33,1041.5,0.0,93,0.001270595950487745,清淡(<1%)
