clearing_day,market,product,contract,tdate,bartime,mask,open,high,low,close,volume,value,vwap,market_cn,year
20150105,XDCE,A,A1601,20150105,09:01,5,0,4401.0,0,4399.0,6,264680,4411.33,大商所,2015
20150112,XDCE,A,A1601,20150109,21:01,5,0,4450.0,0,4450.0,13,578380,4449.08,大商所,2015
20150114,XDCE,A,A1605,20150113,21:05,5,0,4416.0,0,4416.0,1,44160,4416.0,大商所,2015
20150120,XDCE,A,A1601,20150119,21:01,5,0,4400.0,0,4376.0,5,219970,4399.4,大商所,2015
20150120,XDCE,A,A1605,20150120,09:20,5,0,4400.0,0,4400.0,1,44000,4400.0,大商所,2015
20150120,XDCE,J,J1509,20150119,21:01,5,0,1059.0,0,1059.0,16,1694700,1059.19,大商所,2015
20150121,XDCE,Y,Y1601,20150120,21:06,5,0,5784.0,0,5784.0,1,57840,5784.0,大商所,2015
20150123,XDCE,Y,Y1601,20150122,21:10,5,0,5742.0,0,5742.0,1,57420,5742.0,大商所,2015
20150128,XDCE,CS,CS1601,20150128,14:51,5,0,2720.0,0,2720.0,2,54400,2720.0,大商所,2015
20160707,XDCE,J,J1705,20160706,21:22,5,0,982.0,0,982.0,1,98200,982.0,大商所,2016
20160708,XDCE,J,J1705,20160707,21:24,5,0,987.5,0,987.5,1,98750,987.5,大商所,2016
20160712,XDCE,J,J1705,20160711,21:02,5,0,999.0,0,999.0,3,299500,998.333,大商所,2016
20160712,XDCE,V,V1705,20160712,09:01,5,0,5150.0,0,5150.0,5,128750,5150.0,大商所,2016
20160713,XDCE,J,J1705,20160712,21:03,5,0,1045.0,0,1045.0,10,1046350,1046.35,大商所,2016
20160719,XDCE,J,J1705,20160718,21:03,5,0,1002.5,0,989.0,18,1800700,1000.39,大商所,2016
20160720,XDCE,A,A1705,20160719,21:01,5,0,3852.0,0,3852.0,4,154050,3851.25,大商所,2016
20160721,XDCE,PP,PP1705,20160721,09:01,5,0,7000.0,0,6985.0,67,2340065,6985.27,大商所,2016
20160721,XDCE,V,V1701,20160721,09:01,5,0,5280.0,0,5280.0,143,3759950,5258.67,大商所,2016
20160725,XDCE,J,J1705,20160722,21:16,5,0,1006.0,0,1006.0,1,100600,1006.0,大商所,2016
20160728,XDCE,J,J1705,20160727,21:07,5,0,1035.5,0,1035.5,3,311150,1037.17,大商所,2016
20160729,XDCE,J,J1705,20160728,21:06,5,0,1046.0,0,1046.0,5,522150,1044.3,大商所,2016
20160804,XDCE,J,J1705,20160803,21:11,5,0,1102.0,0,1102.0,1,110200,1102.0,大商所,2016
20160808,XDCE,JM,JM1701,20160805,21:01,5,0,830.0,0,828.5,316,15710460,828.611,大商所,2016
20160810,XDCE,V,V1705,20160810,09:01,5,0,5470.0,0,5470.0,11,301425,5480.45,大商所,2016
20160826,XDCE,JM,JM1705,20160825,21:01,5,0,889.0,0,889.0,19,1011030,886.868,大商所,2016
20160901,XDCE,V,V1705,20160901,09:01,5,0,5325.0,0,5320.0,7,186325,5323.57,大商所,2016
20160902,XDCE,M,M1609,20160902,09:05,5,0,3104.0,0,3104.0,12,371700,3097.5,大商所,2016
20160908,XDCE,Y,Y1609,20160908,14:33,5,0,6138.0,0,6138.0,2,122760,6138.0,大商所,2016
20160920,XDCE,PP,PP1709,20160920,09:01,5,0,6638.0,0,6638.0,16,530150,6626.88,大商所,2016
20160921,XDCE,J,J1709,20160920,21:20,5,0,1128.5,0,1128.5,1,112850,1128.5,大商所,2016
20160922,XDCE,I,I1709,20160921,21:01,5,0,362.0,0,362.0,33,1194150,361.864,大商所,2016
20160922,XDCE,PP,PP1709,20160922,09:01,5,0,6686.0,0,6685.0,37,1234345,6672.14,大商所,2016
20160929,XDCE,J,J1709,20160928,21:27,5,0,1170.5,0,1170.5,1,117050,1170.5,大商所,2016
20160930,XDCE,J,J1709,20160929,21:46,5,0,1181.0,0,1181.0,1,118100,1181.0,大商所,2016
20160930,XDCE,PP,PP1709,20160930,09:01,5,0,6743.0,0,6735.0,11,370745,6740.82,大商所,2016
20160930,XDCE,Y,Y1709,20160929,21:01,5,0,6420.0,0,6420.0,2,128400,6420.0,大商所,2016
20161011,XDCE,J,J1709,20161010,21:32,5,0,1175.0,0,1175.0,4,469850,1174.62,大商所,2016
20161014,XDCE,J,J1709,20161013,21:07,5,0,1249.5,0,1249.5,1,124950,1249.5,大商所,2016
20161014,XDCE,V,V1705,20161014,09:01,5,0,5945.0,0,5935.0,23,682675,5936.3,大商所,2016
20161020,XDCE,JM,JM1709,20161019,21:23,5,0,1028.0,0,1028.0,8,494040,1029.25,大商所,2016
20161024,XDCE,JM,JM1709,20161021,21:06,5,0,1045.0,0,1045.0,2,125370,1044.75,大商所,2016
20161025,XDCE,JM,JM1709,20161024,21:11,5,0,1045.5,0,1045.5,2,125460,1045.5,大商所,2016
20161031,XDCE,JM,JM1709,20161028,21:06,5,0,1078.0,0,1078.0,1,64680,1078.0,大商所,2016
