文件,交易所,合约,起始日,起始时刻,结束日,结束时刻,坏bar数,其中带成交,种子手数,种子应填价(vwap),其余应填价(块前收盘)
future_pricemin20260105.txt,大商所,EB2606,20260105,09:01,20260105,09:01,1,1,4,6922.5,6914.0
future_pricemin20260105.txt,大商所,EB2607,20260105,09:01,20260105,09:01,1,1,4,6921.0,6915.0
future_pricemin20260105.txt,大商所,JM2611,20260105,09:01,20260105,09:10,10,1,1,1222.0,1217.0
future_pricemin20260105.txt,大商所,L2610,20260105,09:01,20260105,09:01,1,1,1,6553.0,6537.0
future_pricemin20260105.txt,广期所,PS2604,20260105,09:01,20260105,09:03,3,1,10,58600.0,58600.0
future_pricemin20260106.txt,大商所,J2604,20260106,09:11,20260106,15:00,215,1,1,1656.5,1656.5
future_pricemin20260106.txt,大商所,JM2610,20260105,21:01,20260105,21:02,2,1,6,1179.75,1179.5
future_pricemin20260106.txt,大商所,LG2611,20260106,15:00,20260106,15:00,1,1,21,812.5,813.0
future_pricemin20260106.txt,大商所,PP2608,20260105,21:01,20260105,21:09,9,1,16,6348.06,6323.0
future_pricemin20260106.txt,大商所,PP2610,20260105,21:03,20260105,21:04,2,2,78,6326.6,6289.0
future_pricemin20260106.txt,广期所,PS2604,20260106,09:01,20260106,09:02,2,2,20,59762.5,59110.0
future_pricemin20260107.txt,大商所,I2611,20260106,21:01,20260106,21:01,1,1,12,774.0,773.0
future_pricemin20260107.txt,大商所,L2607,20260106,22:29,20260106,22:32,4,1,2,6672.0,6603.0
future_pricemin20260107.txt,大商所,P2601,20260107,10:58,20260107,13:39,42,1,1,8420.0,8380.0
future_pricemin20260107.txt,大商所,PG2612,20260106,21:30,20260107,11:26,222,1,1,4130.0,4065.0
future_pricemin20260107.txt,大商所,RR2603,20260106,21:01,20260106,21:03,3,1,1,3557.0,3554.0
future_pricemin20260108.txt,大商所,A2601,20260107,21:08,20260107,22:06,59,1,1,4340.0,4340.0
future_pricemin20260108.txt,大商所,P2610,20260107,21:07,20260107,21:15,9,1,4,8470.0,8402.0
future_pricemin20260108.txt,大商所,PG2608,20260107,21:39,20260107,22:16,38,1,2,3986.0,3986.0
future_pricemin20260109.txt,大商所,FB2604,20260109,09:01,20260109,09:03,3,1,6,1281.83,1275.0
future_pricemin20260112.txt,大商所,A2601,20260112,15:00,20260112,15:00,1,1,19,4333.0,4312.0
future_pricemin20260112.txt,大商所,RR2609,20260109,21:27,20260112,09:17,111,1,2,3607.0,3607.0
future_pricemin20260114.txt,大商所,EG2608,20260113,21:01,20260113,21:06,6,1,1,3925.0,3887.0
future_pricemin20260114.txt,大商所,I2601,20260114,15:00,20260114,15:00,1,1,1,832.5,830.0
future_pricemin20260114.txt,广期所,LC2601,20260114,09:10,20260114,09:12,3,1,7,169380.0,162800.0
future_pricemin20260115.txt,大商所,BZ2610,20260115,09:27,20260115,09:31,5,1,1,5912.0,5865.0
future_pricemin20260115.txt,大商所,V2612,20260114,21:06,20260114,21:27,22,1,1,5075.0,5075.0
future_pricemin20260116.txt,大商所,B2610,20260115,21:51,20260115,22:56,66,2,1,3556.0,3556.0
future_pricemin20260116.txt,大商所,BB2601,20260116,15:00,20260116,15:00,1,1,1,146.0,146.0
future_pricemin20260116.txt,大商所,J2611,20260115,22:44,20260116,15:00,242,1,1,1842.5,1840.5
future_pricemin20260116.txt,大商所,M2601,20260116,15:00,20260116,15:00,1,1,473,3143.0,3133.0
future_pricemin20260116.txt,大商所,Y2601,20260116,15:00,20260116,15:00,1,1,10,8122.0,8228.0
future_pricemin20260119.txt,大商所,V2612,20260116,21:02,20260116,21:02,1,1,2,5010.0,5010.0
future_pricemin20260121.txt,大商所,LG2607,20260121,09:01,20260121,09:01,1,1,10,789.5,789.5
future_pricemin20260122.txt,大商所,B2701,20260121,21:08,20260121,21:09,2,1,1,3607.0,3600.0
future_pricemin20260122.txt,大商所,EG2607,20260121,21:01,20260121,21:09,9,1,4,3769.25,3766.0
future_pricemin20260130.txt,大商所,CS2701,20260129,21:03,20260129,21:10,8,1,2,2592.5,2592.0
future_pricemin20260130.txt,大商所,JD2612,20260130,09:02,20260130,09:02,1,1,2,3808.0,3807.0
future_pricemin20260130.txt,大商所,JD2701,20260130,09:02,20260130,09:02,1,1,2,3673.0,3673.0
future_pricemin20260130.txt,广期所,PT2612,20260130,09:01,20260130,09:05,5,1,1,707.1,707.1
future_pricemin20260205.txt,大商所,BB2603,20260205,15:00,20260205,15:00,1,1,1,148.5,148.5
future_pricemin20260205.txt,大商所,FB2605,20260205,09:02,20260205,09:05,4,1,14,1274.5,1274.5
future_pricemin20260209.txt,广期所,SI2602,20260209,09:27,20260209,14:59,198,2,3,8420.0,8420.0
future_pricemin20260211.txt,广期所,PD2610,20260211,10:39,20260211,11:06,28,11,2,429.3,424.15
future_pricemin20260212.txt,广期所,PD2608,20260212,09:01,20260212,09:01,1,1,2,436.0,436.0
future_pricemin20260212.txt,广期所,PT2608,20260212,09:01,20260212,09:04,4,2,4,545.0,545.0
future_pricemin20260224.txt,大商所,Y2701,20260224,09:01,20260224,09:01,1,1,7,8062.0,7988.0
future_pricemin20260304.txt,大商所,M2603,20260304,09:21,20260304,13:56,141,1,20,3004.0,3004.0
future_pricemin20260305.txt,大商所,BZ2603,20260305,09:01,20260305,09:33,33,1,2,6819.0,6550.0
future_pricemin20260305.txt,广期所,SI2603,20260305,10:12,20260305,15:00,154,4,3,8450.0,8220.0
