clearing_day,market,product,contract,session,tdate,bartime,gap,vol,vwap,mask,is_continuation,market_cn,year
20150120,XDCE,A,A1601,N,20150119,21:01,2,5,4399.4,5,0,大商所,2015
20150120,XDCE,A,A1605,N,20150119,21:01,2,2,4413.0,15,0,大商所,2015
20150120,XDCE,J,J1509,N,20150119,21:01,2,16,1059.19,5,0,大商所,2015
20160712,XDCE,J,J1705,N,20160711,21:02,3,3,998.333,5,0,大商所,2016
20160712,XDCE,V,V1705,D,20160712,09:01,2,5,5150.0,5,0,大商所,2016
20160728,XDCE,J,J1705,N,20160727,21:06,7,2,1040.0,15,0,大商所,2016
20160920,XDCE,PP,PP1709,D,20160920,09:01,2,16,6626.88,5,0,大商所,2016
20161031,XDCE,JM,JM1709,N,20161028,21:01,2,1,1085.5,15,0,大商所,2016
20170124,XDCE,Y,Y1801,N,20170123,21:01,2,2,7134.0,15,0,大商所,2017
20170322,XDCE,A,A1801,N,20170321,21:01,2,15,3904.6,5,0,大商所,2017
20170621,XDCE,V,V1805,D,20170621,09:01,2,1,5665.0,15,0,大商所,2017
20170707,XDCE,A,A1805,N,20170706,21:12,13,1,3890.0,15,0,大商所,2017
20170707,XDCE,L,L1805,D,20170707,09:01,2,13,8804.23,5,0,大商所,2017
20171024,XDCE,L,L1809,D,20171024,09:09,10,7,9817.86,15,0,大商所,2017
20171127,XDCE,A,A1809,N,20171124,21:01,2,32,3870.06,15,0,大商所,2017
20171127,XDCE,JM,JM1809,N,20171124,21:01,2,10,1281.7,5,0,大商所,2017
20180117,XDCE,A,A1901,N,20180116,21:01,2,2,3740.0,15,0,大商所,2018
20180117,XDCE,V,V1901,D,20180117,09:12,13,1,6630.0,15,0,大商所,2018
20180202,XDCE,A,A1901,N,20180201,21:01,2,3,3639.33,5,0,大商所,2018
20180202,XDCE,J,J1901,N,20180201,21:15,16,1,1912.5,15,0,大商所,2018
20180202,XDCE,JM,JM1901,N,20180201,21:19,20,1,1251.0,15,0,大商所,2018
20180315,XDCE,L,L1901,D,20180315,09:01,2,7,9327.14,5,0,大商所,2018
20180315,XDCE,PP,PP1901,D,20180315,09:09,10,1,9055.0,15,0,大商所,2018
20180420,XDCE,V,V1901,D,20180420,09:01,2,32,6596.25,5,0,大商所,2018
20180528,XDCE,A,A1905,N,20180525,21:01,2,1,3800.0,15,0,大商所,2018
20180702,XDCE,A,A1905,N,20180629,21:01,2,6,3845.0,15,0,大商所,2018
20180702,XDCE,B,B1905,N,20180629,21:04,5,1,3386.0,15,0,大商所,2018
20180718,XDCE,P,P1905,N,20180717,21:01,2,2,4846.0,5,0,大商所,2018
20180803,XDCE,PP,PP1905,D,20180803,09:08,9,2,9585.5,15,0,大商所,2018
20180906,XDCE,B,B1811,N,20180905,21:48,49,886,3594.0,15,0,大商所,2018
20180906,XDCE,B,B1903,N,20180905,21:39,40,976,3360.0,15,0,大商所,2018
20180925,XDCE,B,B1903,D,20180925,09:15,16,846,3446.0,15,0,大商所,2018
20180925,XDCE,B,B1907,D,20180925,09:30,31,856,3309.0,15,0,大商所,2018
20181018,XDCE,B,B1903,N,20181017,22:04,65,1696,3672.0,15,0,大商所,2018
20181018,XDCE,B,B1907,N,20181017,22:00,61,1254,3361.0,15,0,大商所,2018
20181018,XDCE,P,P1909,N,20181017,21:01,2,7,5084.0,15,0,大商所,2018
20181105,XDCE,B,B1907,N,20181102,22:08,69,1316,3244.0,15,0,大商所,2018
20181121,XDCE,B,B1903,N,20181120,21:08,9,472,3260.0,15,0,大商所,2018
20181121,XDCE,B,B1907,N,20181120,22:28,89,1670,3258.0,15,0,大商所,2018
20181121,XDCE,B,B1911,N,20181120,22:30,91,1076,3393.0,15,0,大商所,2018
20181207,XDCE,B,B1903,N,20181206,21:12,13,770,3181.0,15,0,大商所,2018
20181207,XDCE,B,B1907,N,20181206,22:34,95,1556,3190.0,15,0,大商所,2018
20181207,XDCE,B,B1911,N,20181206,22:40,101,1994,3202.0,15,0,大商所,2018
20181225,XDCE,B,B1911,N,20181224,22:40,101,212,3133.0,15,0,大商所,2018
20190114,XDCE,B,B1907,N,20190111,21:53,54,980,3007.0,15,0,大商所,2019
20190114,XDCE,B,B1911,N,20190111,23:07,128,324,3080.0,15,0,大商所,2019
