calendar_day,pkl_bars,pkl_vol,n_product
20220924,941,126593.0,11
20221231,941,0.0,11
20230610,941,150950.0,11
20230612,22967,24775304.0,73
20230613,23908,24636781.0,73
20230614,23908,23507775.0,73
20230615,23908,23418591.0,73
20230616,23908,26776694.0,73
20230617,941,132441.0,11
20230619,22967,24327156.0,73
20230620,23908,22553398.0,73
20230621,17572,14664753.0,73
20230623,6336,0.0,47
20230624,941,0.0,11
20230626,23147,24641790.0,74
20230627,24374,22671542.0,74
20230628,24374,22131648.0,74
20230629,24374,21043577.0,74
20250314,25911,19499441.0,70
20250315,941,104408.0,11
20250317,24397,18604704.0,70
20250830,941,274417.0,11
20260228,941,286739.0,11
20260307,941,331458.0,11
20260321,941,304096.0,11
20260328,941,338049.0,11
20260330,20090,21861525.0,61
20260411,941,221722.0,11
20260519,21031,18424057.0,61
20260520,21031,19693870.0,61
20260604,6215,6794844.0,46
20260605,21031,21056888.0,61
20260606,941,251116.0,11
20260613,941,220311.0,11
20260718,941,207667.0,11
