product,存活区间,raw天数,二级天数,二级缺失,首个缺失,末个缺失,样例
FB,20131212~20260116,2910,2886,24,20191015,20250910,20191015  20191016  20191017  20191018  20191021  20191022
LR,20140714~20251231,2769,2754,15,20200701,20250910,20200701  20200702  20200703  20200706  20200707  20200708
P,20100104~20260729,3981,3977,4,20220901,20260213,20220901  20250910  20260212  20260213
AL,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
A,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
AG,20120516~20260729,3410,3407,3,20250910,20260213,20250910  20260212  20260213
B,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
AU,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
AP,20171228~20260729,2039,2036,3,20250910,20260213,20250910  20260212  20260213
C,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
CS,20141225~20260729,2774,2771,3,20250910,20260213,20250910  20260212  20260213
CJ,20190509~20260729,1712,1709,3,20250910,20260213,20250910  20260212  20260213
CU,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
BC,20201125~20260729,1334,1331,3,20250910,20260213,20250910  20260212  20260213
FG,20121207~20260729,3269,3266,3,20250910,20260213,20250910  20260212  20260213
CY,20170824~20260729,2124,2121,3,20250910,20260213,20250910  20260212  20260213
EB,20191009~20260729,1610,1607,3,20250910,20260213,20250910  20260212  20260213
EG,20181214~20260729,1805,1802,3,20250910,20260213,20250910  20260212  20260213
HC,20140327~20260729,2959,2956,3,20250910,20260213,20250910  20260212  20260213
FU,20180720~20260729,1904,1901,3,20250910,20260213,20250910  20260212  20260213
I,20131024~20260729,3063,3060,3,20250910,20260213,20250910  20260212  20260213
BU,20131015~20260729,3070,3067,3,20250910,20260213,20250910  20260212  20260213
MA,20141211~20260729,2784,2781,3,20250910,20260213,20250910  20260212  20260213
IC,20150422~20260729,2698,2695,3,20250910,20260213,20250910  20260212  20260213
IH,20150422~20260729,2698,2695,3,20250910,20260213,20250910  20260212  20260213
IF,20100422~20260729,3909,3906,3,20250910,20260213,20250910  20260212  20260213
JD,20131114~20260729,3048,3045,3,20250910,20260213,20250910  20260212  20260213
JM,20130328~20260729,3198,3195,3,20250910,20260213,20250910  20260212  20260213
L,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
J,20110421~20260729,3669,3666,3,20250910,20260213,20250910  20260212  20260213
NR,20190816~20260729,1642,1639,3,20250910,20260213,20250910  20260212  20260213
LH,20210114~20260729,1299,1296,3,20250910,20260213,20250910  20260212  20260213
LU,20200630~20260729,1434,1431,3,20250910,20260213,20250910  20260212  20260213
M,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
OI,20130328~20260729,3198,3195,3,20250910,20260213,20250910  20260212  20260213
NI,20150402~20260729,2711,2708,3,20250910,20260213,20250910  20260212  20260213
PB,20110330~20260729,3683,3680,3,20250910,20260213,20250910  20260212  20260213
CF,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
TS,20180823~20260729,1880,1877,3,20250910,20260213,20250910  20260212  20260213
UR,20190815~20260729,1643,1640,3,20250910,20260213,20250910  20260212  20260213
PF,20201016~20260729,1362,1359,3,20250910,20260213,20250910  20260212  20260213
PG,20200403~20260729,1490,1487,3,20250910,20260213,20250910  20260212  20260213
PK,20210205~20260729,1283,1280,3,20250910,20260213,20250910  20260212  20260213
PP,20140306~20260729,2974,2971,3,20250910,20260213,20250910  20260212  20260213
RB,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
RM,20130108~20260729,3250,3247,3,20250910,20260213,20250910  20260212  20260213
SC,20180330~20260729,1979,1976,3,20250910,20260213,20250910  20260212  20260213
RR,20190822~20260729,1638,1635,3,20250910,20260213,20250910  20260212  20260213
SA,20191212~20260729,1564,1561,3,20250910,20260213,20250910  20260212  20260213
RU,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
SF,20140814~20260729,2863,2860,3,20250910,20260213,20250910  20260212  20260213
SP,20181203~20260729,1814,1811,3,20250910,20260213,20250910  20260212  20260213
SN,20150402~20260729,2711,2708,3,20250910,20260213,20250910  20260212  20260213
SM,20140814~20260729,2863,2860,3,20250910,20260213,20250910  20260212  20260213
ZN,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
Y,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
V,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
SR,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
SS,20191008~20260729,1611,1608,3,20250910,20260213,20250910  20260212  20260213
T,20150326~20260729,2716,2713,3,20250910,20260213,20250910  20260212  20260213
TA,20100104~20260729,3981,3978,3,20250910,20260213,20250910  20260212  20260213
TF,20130912~20260729,3086,3083,3,20250910,20260213,20250910  20260212  20260213
WR,20181022~20260729,1844,1841,3,20250910,20260213,20250910  20260212  20260213
BB,20131212~20260116,2921,2920,1,20250910,20250910,20250910
JR,20131122~20260116,2935,2934,1,20250910,20250910,20250910
PM,20120903~20260116,3226,3225,1,20250910,20250910,20250910
RI,20130417~20260116,3079,3078,1,20250910,20250910,20250910
RS,20130108~20260116,3143,3142,1,20250910,20250910,20250910
WH,20130411~20260116,3083,3082,1,20250910,20250910,20250910
ZC,20151111~20260116,2455,2454,1,20250910,20250910,20250910
