sym,first,last,dead_days,bars_last,bars_med,vol_last5_ratio,oi_last_ratio,oi_last,cohort
A,2010-01-04,2026-07-29,0,346,346.0,2.06454565017952,1.9582429548707772,222991.0,2010
AG,2012-05-16,2026-07-29,0,556,556.0,1.695153704079228,0.845709933503237,274265.0,2012
AL,2010-01-04,2026-07-29,0,466,466.0,1.9977785160575858,2.085121766851809,253776.0,2010
AO,2023-06-27,2024-04-22,828,466,466.0,1.588879852125693,0.9442453300420118,59673.0,2023
AP,2017-12-28,2026-07-29,0,226,226.0,0.7999708127198167,0.9015714986163167,108487.0,2017
AU,2010-01-04,2026-07-29,0,556,556.0,1.7168504785091607,1.2807388628415217,167723.0,2010
B,2010-01-04,2026-07-29,0,346,346.0,12.104093485410399,11.454701472315058,126815.0,2010
BB,2013-12-12,2026-01-16,194,226,226.0,inf,92.0,92.0,2013
BC,2020-11-25,2026-07-29,0,466,466.0,0.7222365237090048,1.3744167520200297,12077.0,2020
BR,2023-08-03,2024-04-22,828,346,346.0,0.7234435261707989,0.3383773716680247,11628.0,2023
BU,2013-10-15,2026-07-29,0,346,346.0,1.3398389767208114,0.8458780620081225,204321.0,2013
C,2010-01-04,2026-07-29,0,346,226.0,1.8029969173033105,1.677171654553613,930681.0,2010
CF,2010-01-04,2026-07-29,0,346,346.0,1.101491960793781,1.803039557685086,398506.0,2010
CJ,2019-05-09,2026-07-29,0,226,226.0,2.9035764566085014,2.8146805884772856,143681.0,2019
CS,2014-12-25,2026-07-29,0,346,346.0,1.0977000919963202,1.776307389523954,251812.0,2014
CU,2010-01-04,2026-07-29,0,466,466.0,0.7358097571842281,1.6495264209461549,197318.0,2010
CY,2017-08-24,2026-07-29,0,346,346.0,2.2700068321566844,1.8982316029663433,8319.0,2017
EB,2019-10-09,2026-07-29,0,346,346.0,2.4781474173047737,1.4281577768098048,227869.0,2019
EC,2023-08-24,2024-04-22,828,226,226.0,0.3637973835436405,0.8739479845598936,27622.0,2023
EG,2018-12-14,2026-07-29,0,346,346.0,2.080577511024698,1.5075007535532936,390102.0,2018
FB,2013-12-12,2026-01-16,194,226,226.0,0.5986577181208054,2.217391304347826,1479.0,2013
FG,2012-12-07,2026-07-29,0,346,346.0,3.0715375236327556,7.751182230919094,1806289.0,2012
FU,2018-07-20,2026-07-29,0,346,346.0,1.3340516039763504,0.7491860911921971,195947.0,2018
HC,2014-03-27,2026-07-29,0,346,346.0,1.017407303535271,3.6836103917801353,1411088.0,2014
I,2013-10-24,2026-07-29,0,346,346.0,0.2989693896270671,0.8003719220020392,454500.0,2013
IC,2015-04-22,2026-07-29,0,241,241.0,8.356185451279748,2.388752047564157,196869.0,2015
IF,2010-04-22,2026-07-29,0,241,241.0,3.579755478662053,3.8162034044386988,159399.0,2010
IH,2015-04-22,2026-07-29,0,241,241.0,3.336818838731616,2.46464892303948,70887.0,2015
IM,2022-07-28,2024-04-22,828,241,241.0,3.9527294613301236,1.5964339979980846,110846.0,2022
J,2011-04-21,2026-07-29,0,346,346.0,0.3990750478655988,0.7983305015882396,54035.0,2011
JD,2013-11-14,2026-07-29,0,226,226.0,7.3782550391819965,2.3178265790450796,259060.0,2013
JM,2013-03-28,2026-07-29,0,346,346.0,4.361889333265833,3.5698757358887625,410525.0,2013
JR,2013-11-22,2026-01-16,194,226,226.0,,0.0,0.0,2013
L,2010-01-04,2026-07-29,0,346,226.0,2.016765586577823,1.406552316632771,329897.0,2010
LC,2023-07-27,2024-04-22,828,226,226.0,0.7270627314920955,1.3047658510291114,177912.0,2023
LH,2021-01-14,2026-07-29,0,226,226.0,4.445583027796058,2.695761953464587,168690.0,2021
LR,2014-07-14,2025-12-31,210,226,226.0,,,0.0,2014
LU,2020-06-30,2026-07-29,0,346,346.0,1.7287764866712234,0.8317658593267729,57265.0,2020
M,2010-01-04,2026-07-29,0,346,346.0,1.985413270339027,1.672839883307113,1752360.0,2010
MA,2011-11-03,2026-07-29,0,346,346.0,1.716212375662059,1.1533443251736921,565908.0,2011
NI,2015-04-02,2026-07-29,0,466,466.0,0.9483841082345988,1.4559692332869651,177934.0,2015
NR,2019-08-16,2026-07-29,0,346,346.0,2.208222091302286,0.9607480847228481,42638.0,2019
OI,2010-01-04,2026-07-29,0,346,346.0,2.8336202951911718,2.2148365095285856,276024.0,2010
P,2010-01-04,2026-07-29,0,346,346.0,1.41024779926435,1.3041995718194836,367946.0,2010
PB,2011-03-30,2026-07-29,0,466,466.0,3.3465515144143048,3.6464384508990317,84364.0,2011
PF,2020-10-16,2026-07-29,0,346,346.0,1.0952261656228253,0.8379707570555562,126428.0,2020
PG,2020-04-03,2026-07-29,0,346,346.0,0.9374609293082614,1.4247544816835542,91398.0,2020
PK,2021-02-05,2026-07-29,0,226,226.0,1.8685890569433137,1.5443895957548797,183648.0,2021
PM,2010-01-04,2026-01-16,194,226,226.0,,0.0,0.0,2010
