sym,n_expect,n_miss,miss_pct,sample,in_pool
FB,2941,34,0.011560693641618497,2019-10-15 2019-10-16 2019-10-17 2019-10-18 2019-10-21 2019-10-22,True
LR,2789,14,0.005019720329867336,2020-07-01 2020-07-02 2020-07-03 2020-07-06 2020-07-07 2020-07-08,False
A,4017,0,0.0,,True
AO,200,0,0.0,,True
AP,2075,0,0.0,,True
AG,3446,0,0.0,,True
AL,4017,0,0.0,,True
BB,2941,0,0.0,,True
BC,1370,0,0.0,,True
BR,173,0,0.0,,True
BU,3106,0,0.0,,True
C,4017,0,0.0,,True
CF,4017,0,0.0,,True
AU,4017,0,0.0,,True
B,4017,0,0.0,,True
CS,2810,0,0.0,,True
CJ,1748,0,0.0,,True
EB,1646,0,0.0,,True
CU,4017,0,0.0,,True
EC,158,0,0.0,,True
EG,1841,0,0.0,,True
FG,3305,0,0.0,,True
CY,2160,0,0.0,,True
HC,2995,0,0.0,,True
I,3099,0,0.0,,True
IC,2734,0,0.0,,True
IF,3945,0,0.0,,True
IH,2734,0,0.0,,True
IM,420,0,0.0,,True
J,3705,0,0.0,,True
FU,1940,0,0.0,,True
JD,3084,0,0.0,,True
JM,3234,0,0.0,,True
L,4017,0,0.0,,True
JR,2955,0,0.0,,False
LC,178,0,0.0,,True
LH,1335,0,0.0,,True
LU,1470,0,0.0,,True
M,4017,0,0.0,,True
MA,3573,0,0.0,,True
NI,2747,0,0.0,,True
NR,1678,0,0.0,,True
OI,4017,0,0.0,,True
P,4017,0,0.0,,True
PB,3719,0,0.0,,True
PF,1398,0,0.0,,True
PG,1526,0,0.0,,True
PK,1319,0,0.0,,True
PM,3894,0,0.0,,False
PP,3010,0,0.0,,True
PX,138,0,0.0,,True
RB,4017,0,0.0,,True
RI,3894,0,0.0,,False
RM,3286,0,0.0,,True
RR,1674,0,0.0,,True
RS,3163,0,0.0,,False
RU,4017,0,0.0,,True
SA,1600,0,0.0,,True
SC,2015,0,0.0,,True
SF,2899,0,0.0,,True
SH,138,0,0.0,,True
SI,317,0,0.0,,True
SM,2899,0,0.0,,True
SN,2747,0,0.0,,True
SP,1850,0,0.0,,True
SR,4017,0,0.0,,True
SS,1647,0,0.0,,True
T,2752,0,0.0,,True
TA,4017,0,0.0,,True
TF,3122,0,0.0,,True
TL,238,0,0.0,,True
TS,1916,0,0.0,,True
UR,1679,0,0.0,,True
V,4017,0,0.0,,True
WH,3894,0,0.0,,False
WR,1880,0,0.0,,True
Y,4017,0,0.0,,True
ZC,2987,0,0.0,,False
ZN,4017,0,0.0,,True
