,pad_all,pad_250d,n_bar_250d,in_pool
A,0.008479937365433548,0.008670520231213872,86500.0,True
AG,0.007533447791897319,0.01476978417266187,139000.0,True
AL,0.048059665998233754,0.01582832618025751,116500.0,True
AO,0.02595487711005345,,,True
AP,0.00011301844546326901,0.0,56500.0,True
AU,0.01226141825982119,0.014309352517985612,139000.0,True
B,0.4419369739675083,0.00869364161849711,86500.0,True
BB,0.8746859324833827,0.9430353285485332,28702.0,True
BC,0.06677734184809753,0.08499570815450644,116500.0,True
BR,0.026825460102318784,,,True
BU,0.0407267028339381,0.008578034682080925,86500.0,True
C,0.008289246383070612,0.008670520231213872,86500.0,True
CF,0.01137746256895193,0.008404624277456647,86500.0,True
CJ,0.005158866770620279,0.0,56500.0,True
CS,0.00822266048854241,0.00869364161849711,86500.0,True
CU,0.007941305066754525,0.013339055793991417,116500.0,True
CY,0.24870863792490192,0.08455491329479768,86500.0,True
EB,0.008239554853726959,0.008843930635838151,86500.0,True
EC,0.004200739330122102,,,True
EG,0.00710707738387255,0.008705202312138728,86500.0,True
FB,0.4948841825194602,0.5869974217824542,28702.0,True
FG,0.004789637366506279,0.008393063583815029,86500.0,True
FU,0.006545084159717583,0.008404624277456647,86500.0,True
HC,0.04502380613301412,0.008393063583815029,86500.0,True
I,0.00832132154027643,0.008670520231213872,86500.0,True
IC,0.03051270622391143,0.0,60250.0,True
IF,0.015916111119509406,0.0,60250.0,True
IH,0.048182157678847856,0.0,60250.0,True
IM,9.879470460383324e-05,,,True
J,0.02558240748770625,0.009965317919075144,86500.0,True
JD,0.00010760648737991115,0.0004247787610619469,56500.0,True
JM,0.01698730882347595,0.008670520231213872,86500.0,True
JR,0.984573963321784,1.0,28702.0,False
L,0.004949434967249694,0.008797687861271676,86500.0,True
LC,0.0019140896887739883,,,True
LH,0.0019024891452056611,0.0004247787610619469,56500.0,True
LR,0.9602796175980675,1.0,26442.0,False
LU,0.009382296083688664,0.009052023121387283,86500.0,True
M,0.0044149540027402625,0.008670520231213872,86500.0,True
MA,0.016926281129776427,0.008508670520231213,86500.0,True
NI,0.008030377890760722,0.012463519313304722,116500.0,True
NR,0.03933863257248569,0.008624277456647398,86500.0,True
OI,0.009986417385746245,0.008393063583815029,86500.0,True
P,0.005236119344003161,0.008670520231213872,86500.0,True
PB,0.1733763136772364,0.039587982832618024,116500.0,True
PF,0.00850190195907994,0.008439306358381502,86500.0,True
PG,0.008050164432944512,0.010184971098265896,86500.0,True
PK,0.0003656564707776742,0.0,56500.0,True
PM,0.9610843842595342,1.0,28702.0,False
PP,0.005006460313760808,0.008670520231213872,86500.0,True
PX,0.017278662619037717,,,True
RB,0.0048826956384821285,0.008393063583815029,86500.0,True
RI,0.7407356882280203,1.0,28702.0,False
RM,0.00618684283480432,0.008404624277456647,86500.0,True
RR,0.3618920250087201,0.6215953757225433,86500.0,True
RS,0.9114470691261517,0.9417810605532716,28702.0,False
RU,0.0052918167948842795,0.008393063583815029,86500.0,True
SA,0.008601176172779267,0.008393063583815029,86500.0,True
SC,0.016171571222130848,0.016827338129496404,139000.0,True
SF,0.21938904779493693,0.0,56500.0,True
SH,0.01729945523350106,,,True
SI,0.002037910722760392,,,True
SM,0.1476355899348875,0.0,56500.0,True
SN,0.05982420349680442,0.012995708154506437,116500.0,True
SP,0.006857762460804859,0.008393063583815029,86500.0,True
SR,0.006131599684791174,0.008393063583815029,86500.0,True
SS,0.02739095638255302,0.018626609442060085,116500.0,True
T,0.00896468274139722,4.6875e-05,64000.0,True
TA,0.006710795902285264,0.008520231213872832,86500.0,True
TF,0.04274091203583501,0.0016875,64000.0,True
TL,0.03745404411764706,,,True
TS,0.2268795888989859,0.021734375,64000.0,True
UR,0.0005850511524453557,0.0,56500.0,True
V,0.04480313827107176,0.008670520231213872,86500.0,True
WH,0.6228960514797893,1.0,28702.0,False
WR,0.8200809640369046,0.9156283185840708,56500.0,True
Y,0.004857310628302995,0.008670520231213872,86500.0,True
ZC,0.44811789846981237,1.0,43942.0,False
ZN,0.014053193057380776,0.01496137339055794,116500.0,True
