sym,n,n_nan,n_nonpos,bad_pct
A,1277250,0,0,0.0
AG,1786964,0,0,0.0
AL,1614722,0,0,0.0
AO,92237,0,0,0.0
AP,468950,0,0,0.0
AU,1916010,0,0,0.0
B,1277250,0,0,0.0
BB,664666,0,0,0.0
BC,636698,0,0,0.0
BR,60204,0,0,0.0
BU,1064314,0,0,0.0
C,1111440,0,0,0.0
CF,1269000,0,0,0.0
CJ,395048,0,0,0.0
CS,838658,0,0,0.0
CU,1614722,0,0,0.0
CY,753468,0,0,0.0
EB,561074,0,0,0.0
EC,35708,0,0,0.0
EG,619664,0,0,0.0
FB,656982,0,0,0.0
FG,1090688,0,0,0.0
FU,661718,0,0,0.0
HC,1039228,0,0,0.0
I,1069782,0,0,0.0
IC,664084,0,0,0.0
IF,992265,0,0,0.0
IH,664084,0,0,0.0
IM,101220,0,0,0.0
J,1245348,0,0,0.0
JD,696984,0,0,0.0
JM,1100292,0,0,0.0
JR,815634,313914,0,0.3848711554447215
L,1111440,0,0,0.0
LC,40228,0,0,0.0
LH,301710,0,0,0.0
LR,760038,0,0,0.0
LU,507978,0,0,0.0
M,1277250,0,0,0.0
MA,1168656,0,0,0.0
NI,1254860,0,0,0.0
NR,571906,0,0,0.0
OI,1251600,0,0,0.0
P,1315860,0,0,0.0
PB,1547374,0,0,0.0
PF,483186,0,0,0.0
PG,524834,0,0,0.0
PK,298094,0,0,0.0
PM,909198,0,223514,0.24583644046731296
PP,883858,0,0,0.0
PX,48094,0,0,0.0
RB,1270200,0,0,0.0
RI,908972,0,223288,0.24564893088015913
RM,1103794,0,0,0.0
RR,570521,0,0,0.0
RS,714838,169274,15142,0.2579829276003794
RU,1232280,0,0,0.0
SA,545158,0,0,0.0
SC,1091978,0,0,0.0
SF,655174,0,0,0.0
SH,48094,0,0,0.0
SI,71642,0,0,0.0
SM,655174,0,0,0.0
SN,1254860,0,0,0.0
SP,630818,0,0,0.0
SR,1269000,0,0,0.0
SS,749700,0,0,0.0
T,723952,0,0,0.0
TA,1269000,0,0,0.0
TF,824222,0,0,0.0
TL,60928,0,0,0.0
TS,497396,0,0,0.0
UR,379454,0,0,0.0
V,1111440,0,0,0.0
WH,1021294,343972,678,0.3374640407169728
WR,424880,0,0,0.0
Y,1277250,0,0,0.0
ZC,1195605,487965,1384,0.4092898574361934
ZN,1614722,0,0,0.0
