sym,n_change,n_cross,n_intraday,n_contract
ZC,242746,316,242430,56
JR,179221,330,178891,38
WH,178222,329,177893,53
LR,169485,272,169213,29
PM,37404,244,37160,47
RI,37185,224,36961,45
B,92,92,0,93
BB,98,98,0,33
A,58,58,0,59
AG,43,43,0,44
AL,194,194,0,195
AO,7,7,0,8
AP,25,25,0,26
AU,49,49,0,50
CJ,21,21,0,22
CF,48,48,0,49
C,57,57,0,58
BU,54,54,0,55
BR,4,4,0,5
BC,65,65,0,66
CS,50,50,0,51
CU,196,196,0,197
FU,30,30,0,31
HC,36,36,0,37
I,37,37,0,38
IC,47,47,0,48
EC,1,1,0,2
EG,22,22,0,23
CY,31,31,0,32
EB,69,69,0,70
J,45,45,0,46
IM,8,8,0,9
JM,39,39,0,40
JD,59,59,0,60
L,50,50,0,51
LC,1,1,0,2
LH,25,25,0,26
LU,67,67,0,68
M,48,48,0,49
MA,44,44,0,45
NI,92,92,0,93
NR,78,78,0,79
IF,66,66,0,67
IH,46,46,0,47
FB,50,50,0,51
FG,40,40,0,41
PF,48,48,0,49
PB,177,177,0,178
P,48,48,0,49
OI,50,50,0,51
PP,36,36,0,37
PX,1,1,0,2
PK,22,22,0,23
PG,66,66,0,67
RR,67,67,0,68
RS,33,33,0,33
RU,51,51,0,52
SA,19,19,0,20
SC,92,92,0,93
SF,55,55,0,56
RB,49,49,0,50
RM,42,42,0,43
SM,43,43,0,44
SI,10,10,0,11
SN,91,91,0,92
SP,33,33,0,34
T,44,44,0,45
TA,50,50,0,51
SR,50,50,0,51
SS,71,71,0,72
TL,4,4,0,5
TF,51,51,0,52
UR,21,21,0,22
TS,31,31,0,32
V,50,50,0,51
WR,60,60,0,26
Y,48,48,0,49
ZN,197,197,0,198
