market_cn,product,交易日数,合约数中位,有0900的天数
上期所,AG,718,12.0,0
上期所,AL,718,12.0,0
上期所,AO,707,12.0,0
上期所,AU,718,8.0,0
上期所,BR,688,12.0,0
上期所,BU,718,16.0,0
上期所,CU,718,12.0,0
上期所,FU,718,12.0,0
上期所,HC,718,12.0,0
上期所,NI,718,12.0,0
上期所,OP,193,12.0,0
上期所,PB,718,12.0,0
上期所,RB,718,12.0,0
上期所,RU,718,10.0,0
上期所,SN,718,12.0,0
上期所,SP,718,12.0,0
上期所,SS,718,12.0,0
上期所,ZN,718,12.0,0
大商所,A,718,6.0,0
大商所,B,718,12.0,0
大商所,C,718,6.0,0
大商所,CS,718,6.0,0
大商所,EB,718,12.0,0
大商所,EG,718,12.0,0
大商所,I,718,12.0,0
大商所,J,718,12.0,0
大商所,JM,718,12.0,0
大商所,L,718,12.0,0
大商所,M,718,8.0,0
大商所,P,718,12.0,0
大商所,PG,718,12.0,0
大商所,PP,718,12.0,0
大商所,RR,718,12.0,0
大商所,V,718,12.0,0
大商所,Y,718,8.0,0
能源中心,BC,718,12.0,0
能源中心,LU,718,12.0,0
能源中心,NR,718,12.0,0
能源中心,SC,718,20.0,0
