clearing_day,weekday,tdate,market,market_cn,product,n_contracts,bars,min_bt,max_bt,prev_file,gap_days
20130705,周五,20130704,XSGE,上期所,AG,12,2160,21:00,23:59,20130704,1.0
20130705,周五,20130704,XSGE,上期所,AU,12,2160,21:00,23:59,20130704,1.0
20140102,周四,20131231,XSGE,上期所,AG,12,2160,21:00,23:59,20131231,2.0
20140102,周四,20140101,XSGE,上期所,AG,12,1812,00:00,02:30,20131231,2.0
20140102,周四,20140101,XSGE,上期所,AL,12,732,00:00,01:00,20131231,2.0
20140102,周四,20131231,XSGE,上期所,AL,12,2160,21:00,23:59,20131231,2.0
20140102,周四,20131231,XSGE,上期所,AU,10,1800,21:00,23:59,20131231,2.0
20140102,周四,20140101,XSGE,上期所,AU,10,1510,00:00,02:30,20131231,2.0
20140102,周四,20140101,XSGE,上期所,CU,12,732,00:00,01:00,20131231,2.0
20140102,周四,20131231,XSGE,上期所,CU,12,2160,21:00,23:59,20131231,2.0
20140102,周四,20131231,XSGE,上期所,PB,12,2160,21:00,23:59,20131231,2.0
20140102,周四,20140101,XSGE,上期所,PB,12,732,00:00,01:00,20131231,2.0
20140102,周四,20140101,XSGE,上期所,ZN,12,732,00:00,01:00,20131231,2.0
20140102,周四,20131231,XSGE,上期所,ZN,12,2160,21:00,23:59,20131231,2.0
20150928,周一,20150925,XDCE,大商所,A,9,1359,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,B,6,906,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,I,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,J,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,JM,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,M,8,1208,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,P,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XDCE,大商所,Y,8,1208,21:00,23:30,20150925,3.0
20150928,周一,20150926,XSGE,上期所,AG,12,1812,00:00,02:30,20150925,3.0
20150928,周一,20150925,XSGE,上期所,AG,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,AL,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,AL,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,AU,8,1208,00:00,02:30,20150925,3.0
20150928,周一,20150925,XSGE,上期所,AU,8,1440,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,BU,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,BU,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,CU,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,CU,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,HC,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,HC,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,NI,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,NI,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,PB,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,PB,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,RB,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,RB,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150925,XSGE,上期所,RU,10,1210,21:00,23:00,20150925,3.0
20150928,周一,20150926,XSGE,上期所,SN,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,SN,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150926,XSGE,上期所,ZN,12,732,00:00,01:00,20150925,3.0
20150928,周一,20150925,XSGE,上期所,ZN,12,2160,21:00,23:59,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,CF,6,906,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,FG,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,MA,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,OI,6,906,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,RM,7,1057,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,SR,9,1359,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,TA,12,1812,21:00,23:30,20150925,3.0
20150928,周一,20150925,XZCE,郑商所,ZC,5,755,21:00,23:30,20150925,3.0
20200102,周四,20191231,XDCE,大商所,A,6,726,21:00,23:00,20191231,2.0
20200102,周四,20191231,XDCE,大商所,B,12,1452,21:00,23:00,20191231,2.0
20200102,周四,20191231,XDCE,大商所,C,6,726,21:00,23:00,20191231,2.0
