clearing_day,bars,n_prod,n_mkt,tdates,weekday,prev_file,era
20130705,4320,2,1,20130704,周五,20130704,旧格式(含Offset)
20140102,18850,6,1,"20131231,20140101",周四,20131231,旧格式(含Offset)
20150928,56206,28,3,"20150925,20150926",周一,20150925,旧格式(含Offset)
20200102,74020,43,4,"20191231,20200101",周四,20191231,旧格式(含Offset)
20221010,82961,47,4,"20221007,20221008",周一,20220930,新格式
20230103,71065,47,4,20230102,周二,20221230,新格式
20230130,82961,47,4,"20230127,20230128",周一,20230120,新格式
20230406,71065,47,4,20230405,周四,20230404,新格式
20230504,71065,47,4,20230503,周四,20230428,新格式
20231009,85260,50,4,"20231006,20231007",周一,20230928,新格式
20240102,284327,50,4,"20231229,20231230,20240101",周二,20231229,新格式
20240219,86591,50,4,"20240216,20240217",周一,20240208,新格式
20240408,87075,50,4,"20240405,20240406",周一,20240403,新格式
20240506,87317,50,4,"20240503,20240504",周一,20240430,新格式
20240611,75421,50,4,20240610,周二,20240607,新格式
20240918,76268,51,4,20240917,周三,20240913,新格式
20241008,76268,51,4,20241007,周二,20240930,新格式
20250102,292733,51,4,"20241231,20250101",周四,20241231,新格式
20250205,76752,51,4,20250204,周三,20250127,新格式
20250407,88769,51,4,"20250404,20250405",周一,20250403,新格式
20250506,76873,51,4,20250505,周二,20250430,新格式
20250603,76873,51,4,20250602,周二,20250530,新格式
20251009,76873,51,4,20251008,周四,20250930,新格式
20260105,88769,51,4,"20260102,20260103",周一,20251231,新格式
20260224,76873,51,4,20260223,周二,20260213,新格式
20260407,76873,51,4,20260406,周二,20260403,新格式
20260506,76873,51,4,20260505,周三,20260430,新格式
20260622,88769,51,4,"20260619,20260620",周一,20260618,新格式
