year,market,market_cn,n2100v,n2100flat,flat_2100,n0900v,n0900flat,flat_0900
2010,CCFX,中金所,0,0,,0,0,
2010,XDCE,大商所,0,0,,3866,3866,1.0
2010,XSGE,上期所,0,0,,5420,5414,0.9988929889298893
2010,XZCE,郑商所,0,0,,3947,2950,0.7474030909551558
2011,CCFX,中金所,0,0,,0,0,
2011,XDCE,大商所,0,0,,4143,4143,1.0
2011,XSGE,上期所,0,0,,4630,4596,0.9926565874730021
2011,XZCE,郑商所,0,0,,3522,3195,0.9071550255536627
2012,CCFX,中金所,0,0,,0,0,
2012,XDCE,大商所,0,0,,4504,4504,1.0
2012,XSGE,上期所,0,0,,4430,4430,1.0
2012,XZCE,郑商所,0,0,,3292,2658,0.807411907654921
2013,CCFX,中金所,0,0,,0,0,
2013,XDCE,大商所,0,0,,5067,5050,0.9966449575685811
2013,XSGE,上期所,581,581,1.0,4085,4085,1.0
2013,XZCE,郑商所,0,0,,4119,3395,0.8242291818402525
2014,CCFX,中金所,0,0,,0,0,
2014,XDCE,大商所,661,440,0.6656580937972768,7155,4479,0.6259958071278826
2014,XSGE,上期所,3157,3157,1.0,1910,1910,1.0
2014,XZCE,郑商所,0,0,,5966,3049,0.5110626885685552
2015,CCFX,中金所,0,0,,0,0,
2015,XDCE,大商所,3605,3605,1.0,3365,3365,1.0
2015,XSGE,上期所,5408,5408,1.0,173,173,1.0
2015,XZCE,郑商所,3982,1472,0.36966348568558516,1162,653,0.5619621342512908
2016,CCFX,中金所,0,0,,0,0,
2016,XDCE,大商所,4026,4026,1.0,3832,3832,1.0
2016,XSGE,上期所,7145,7145,1.0,212,212,1.0
2016,XZCE,郑商所,4935,1579,0.3199594731509625,619,356,0.5751211631663974
2017,CCFX,中金所,0,0,,0,0,
2017,XDCE,大商所,4037,4037,1.0,4159,4159,1.0
2017,XSGE,上期所,7719,7719,1.0,192,192,1.0
2017,XZCE,郑商所,4901,1475,0.3009589879616405,1241,499,0.40209508460918614
2018,CCFX,中金所,0,0,,0,0,
2018,XDCE,大商所,4461,4461,1.0,4041,4041,1.0
2018,XSGE,上期所,7656,7656,1.0,283,283,1.0
2018,XSIE,能源中心,292,292,1.0,5,5,1.0
2018,XZCE,郑商所,5626,1772,0.31496622822609316,2426,824,0.3396537510305029
2019,CCFX,中金所,0,0,,0,0,
2019,XDCE,大商所,7680,7680,1.0,2423,2423,1.0
2019,XSGE,上期所,9382,9382,1.0,346,346,1.0
2019,XSIE,能源中心,875,875,1.0,25,25,1.0
2019,XZCE,郑商所,6272,1991,0.3174426020408163,3046,1110,0.36441234405778067
2020,CCFX,中金所,0,0,,0,0,
2020,XDCE,大商所,7816,7816,1.0,4812,4812,1.0
2020,XSGE,上期所,8858,8858,1.0,3722,3722,1.0
2020,XSIE,能源中心,1439,1439,1.0,536,536,1.0
2020,XZCE,郑商所,6507,2570,0.39495927462732444,6100,2349,0.3850819672131148
2021,CCFX,中金所,0,0,,0,0,
2021,XDCE,大商所,15705,15705,1.0,3014,3014,1.0
2021,XSGE,上期所,12970,12970,1.0,399,399,1.0
2021,XSIE,能源中心,2260,2260,1.0,69,69,1.0
2021,XZCE,郑商所,10873,4254,0.3912443667800975,5914,2573,0.435069327020629
2022,CCFX,中金所,0,0,,0,0,
2022,XDCE,大商所,14590,14590,1.0,2655,2655,1.0
2022,XGFE,广期所,0,0,,17,17,1.0
2022,XSGE,上期所,16874,16874,1.0,403,403,1.0
2022,XSIE,能源中心,2658,2658,1.0,66,66,1.0
2022,XZCE,郑商所,12149,4599,0.3785496748703597,6040,3012,0.4986754966887417
2023,CCFX,中金所,0,0,,0,0,
2023,XDCE,大商所,14585,14585,1.0,2436,2436,1.0
2023,XGFE,广期所,0,0,,1114,1114,1.0
2023,XSGE,上期所,16133,16133,1.0,34,34,1.0
2023,XSIE,能源中心,2701,2701,1.0,276,276,1.0
2023,XZCE,郑商所,12410,4368,0.35197421434327153,6097,2951,0.4840085287846482
2024,CCFX,中金所,0,0,,0,0,
2024,XDCE,大商所,13709,13709,1.0,2893,2893,1.0
2024,XGFE,广期所,0,0,,2372,2372,1.0
2024,XSGE,上期所,17303,17303,1.0,18,18,1.0
2024,XSIE,能源中心,2800,2800,1.0,1279,1279,1.0
2024,XZCE,郑商所,12501,4948,0.39580833533317333,6612,2692,0.4071385359951603
2025,CCFX,中金所,0,0,,0,0,
2025,XDCE,大商所,13179,13179,1.0,3702,3702,1.0
2025,XGFE,广期所,0,0,,3818,3818,1.0
2025,XSGE,上期所,17031,17031,1.0,670,670,1.0
2025,XSIE,能源中心,2900,2900,1.0,1081,1081,1.0
2025,XZCE,郑商所,13746,5431,0.39509675541975847,6382,2527,0.3959573801316202
2026,CCFX,中金所,0,0,,0,0,
2026,XDCE,大商所,7846,7846,1.0,2623,2623,1.0
2026,XGFE,广期所,0,0,,2104,2104,1.0
2026,XSGE,上期所,9343,9343,1.0,678,678,1.0
2026,XSIE,能源中心,1622,1622,1.0,539,539,1.0
2026,XZCE,郑商所,8037,2951,0.36717680726639296,3781,1419,0.3752975403332452
