year,market_cn,负成交额bar,负成交量bar,负持仓量bar,vwap越界bar_1pct,vwap越界bar_01pct
2010,上期所,0,0,0,232000,232201
2010,中金所,0,0,0,0,1
2010,大商所,0,0,0,648,5298
2010,郑商所,0,0,0,6,19
2011,上期所,0,0,0,161832,161973
2011,中金所,0,0,0,0,1
2011,大商所,0,0,0,606,6375
2011,郑商所,0,0,0,4,11
2012,上期所,0,0,0,28726,28829
2012,中金所,0,0,0,0,1
2012,大商所,0,0,0,371,4999
2012,郑商所,0,0,0,0,0
2013,上期所,0,0,0,10,237
2013,中金所,0,0,0,0,4
2013,大商所,0,0,0,43,685
2013,郑商所,0,0,0,0,1
2014,上期所,0,0,0,7,113
2014,中金所,0,0,0,0,3
2014,大商所,0,0,0,57,1633
2014,郑商所,0,0,0,66,5107
2015,上期所,18,18,0,17,253
2015,中金所,0,0,0,1,17
2015,大商所,0,0,225,73,1828
2015,郑商所,2536,0,0,7178,9312
2016,上期所,0,0,0,14,296
2016,中金所,0,0,0,1,12
2016,大商所,0,0,0,273,3387
2016,郑商所,6472,0,0,3830,6850
2017,上期所,0,0,0,15,206
2017,中金所,0,0,0,0,6
2017,大商所,0,0,0,64,2803
2017,郑商所,7822,0,0,2173,5023
2018,上期所,0,0,0,9,148
2018,中金所,0,0,0,0,10
2018,大商所,0,0,0,421,4533
2018,能源中心,0,0,0,3,23
2018,郑商所,8715,0,0,2744,6613
2019,上期所,0,0,0,9,216
2019,中金所,0,0,0,0,28
2019,大商所,0,0,0,256,4516
2019,能源中心,0,0,0,3,23
2019,郑商所,9843,0,0,3275,8032
2020,上期所,0,0,0,31,364
2020,中金所,0,0,0,0,37
2020,大商所,0,0,0,325,8745
2020,能源中心,0,0,0,6,44
2020,郑商所,12565,0,0,6979,13385
2021,上期所,0,0,0,39,402
2021,中金所,0,0,0,0,23
2021,大商所,0,0,0,646,9007
2021,能源中心,0,0,0,7,71
2021,郑商所,17445,0,0,9840,18267
2022,上期所,2,2,0,20,431
2022,中金所,0,0,0,0,25
2022,大商所,0,0,0,332,7208
2022,广期所,0,0,0,0,8
2022,能源中心,0,0,0,11,96
2022,郑商所,14785,0,0,10564,19470
2023,上期所,0,0,0,13,370
2023,中金所,0,0,0,0,22
2023,大商所,0,0,0,162,5167
2023,广期所,0,0,0,215,1044
2023,能源中心,1,1,0,6,92
2023,郑商所,15323,0,0,15509,28293
2024,上期所,0,0,0,24,557
2024,中金所,0,0,0,2,45
2024,大商所,0,0,0,286,9656
2024,广期所,0,0,0,25,393
2024,能源中心,0,0,0,6,107
2024,郑商所,22789,0,0,21075,35872
2025,上期所,0,0,0,25,725
2025,中金所,0,0,0,0,61
2025,大商所,0,0,0,330,9615
2025,广期所,0,0,0,130,1618
2025,能源中心,0,0,0,8,138
2025,郑商所,18636,73,0,13197,24928
2026,上期所,0,0,0,65,682
2026,中金所,0,0,0,0,9
2026,大商所,0,0,0,1159,12989
2026,广期所,0,0,0,338,3212
2026,能源中心,0,0,0,13,109
2026,郑商所,8956,46,0,7641,14813
